Tweet_ID,Teaser_Tokens,Tag_Value
1,Avión venezolano ocho tripulante coincidir vuelo Paraguay Argentina,0
2,aquí consejo amigo veneco sobrevivir socialismo,0
3,Cínicos desinformar guión preparado ecena novela Venezolana izaterroristacorreafinancista,0
4,no chamar dime,0
5,Gobierno Bélgica albergar Rafael Correa refugiado ser corresponsable acto actual crisis social Ecuador millón querer PAZ reparación económico argumentaremos exigiremos petición,0
6,persona haber tener condición Refugiadas decir MiCasaEsTuCasa hoy día mundial persona conmemoramos Lucha esfuerzo vida digno únetir aquí filtro díadelrefugiado,0
7,ser pasar dejar auténtico indocumentado cargo patrimonio hermandad más importante Sevilla destrozar manto encima presumen,0
8,repudiamos acto vandalico responsabilizamos Bélgica refugiado no respetar cumplir ley internacional asistir negociación paz velar bien ecuatoriano reparación económico inmediato,0
9,Buenas noches Dije ilegal no irregular no tener documento indocumentado estar país no existir legalidad estadía,0
10,decir dos venezolana Miami así pensar principio mirar terminar llorar joya tener vender regalar poder salir infierno,0
11,dar órden país veneco,1
12,grupo alumno haber recaudar donación favor proyecto atención persona refugiado Ucrania llevar cabo inicio conflicto,0
13,Na comunidá valenciano runrún asunto sórdido menor tutelado leer década soar no ambientar chamar atención rompesir rompeu,0
14,ser venezolano chavista vivir Venezuela apoyar socialismo deber ser acto maldad más grande existir,0
15,AFIDRO Profamilia unir prestar servicio salud sexual reproductivo población migrante refugiado Buenaventura,0
16,Venezuela regalar,0
17,díamundialdelosrefugiados ser ocasión fomentar comprensión empatía persona refugiado desplazado consideración difícil circunstancia encontrar,0
18,ahí no derechos humanos ser solo venezolana quemar patrullero,1
19,conflicto Ucrania visibilizar doble rasero hora proteger persona refugiado Estado español,0
20,Gobierno Bélgica albergar Rafael Correa refugiado ser corresponsable acto actual crisis social Ecuador millón querer PAZ reparación económico argumentaremos exigiremos petición,0
21,asesino chamo prrotestar Maduro,0
22,Acto seguido aumentar flujo persona venezolano Colombia llegar grupo gente necesitado principalmente delincuente Historia ya vivido Ecuador penar Colombia no aprender experiencia,1
23,Migración cifra Agencia ONU Refugiados ACNUR menos ucraniano haber huir país partir principalmente nación europeo,0
24,Gracias único verdadero opositor venezolano,0
25,refugiado Universidad Salesiana Quito Gonzalo Ulcuando oriundo Cayambe Cangahua comentar recorrido haber deber realizar llegar capital razón,0
26,ser vergüenza estar suceder persona casi refugiada tener explicar recibir ayuda abrazo solidario,0
27,Media Latinoamérica ahora ser izquierda Uruguay costa rico no estar llorar Honduras salvador gobierno derecha presentar migración comparable venezolana,0
28,caer miedo refugiado falda militar policía sacar ofensa prensa así ser cobard pantalón cara ineptitud mediocridad,0
29,Ecuador ser país destino tránsito persona necesitar protección internacional último dos década Ecuador haber acoger mayor población refugiado reconocido América Latina mayoría vecino Colombia,0
30,persona refugiado venezolano Colombia,0
31,poder ser ir Venezuela Nicaragua allá creer también querer,0
32,Señores SENASA indicar favor tipo inmunización inmunógeno utilizar prevenir Encefalitis Equina Venezolana igualmente información enfermedad exótico bovino mencionada Tweet gracias respuesta,0
33,dar entrada gratuito refugiado ucraniano donar USD afectado invasión ruso país,0
34,ser venezolano hablé colombiano explique detalle pasariar país ganar socialismo pobre tener tar deseo ser escuchar dar poder menos indicado,0
35,ojalá pasar venezolano regresen país luchar dejen estar opinar Colombia país tender mano ser desagradecido,1
36,Jóvenes paria vender fruna decir sandez escuchar joven venezolano bus lastimosamente ser así ser tiempo ya pasar edad tener cualidad llamar paciencia parecierar q uds no supiesar clase,1
37,interesar comprar no dólar ser veneco buscar pais,1
38,Marica Venezolanos creer poder opinar situación político país no querer regalado partida hijueputa,1
39,no saber ya haber posesionar deber ser ya pasar ya dar órden fiscalía procuraduría alcalde hasta ya restablecer relación régimen Venezolano mejor dicho ya empezar régimen,0
40,noche único función Colectiva Mujeres Refugiadas Exiliadas Migradas proceso año investigación dentro línea trabajo Memoria Paz Gimanasio Moderno entrada libre más info,0
41,pueblo no chamir saber ser contratista alcaldía,0
42,Ecuador diablo importar opinir comunista Venezuela,1
43,ConectandoCaminosPorLosDerechos Circula cadena dirigido refugiado prometer bono casi millón pesos ingresar enlace Cadena FALSA,0
44,no no denunciar protegido Venezolanos delincuente disfrasado refugiado indocumentado cobrar dólares infiltrado paro hacer pasar indígena,1
45,entonces dime tener hacer venezolano manifestación ecuatoriano ir país sacar lacra presidente tener,1
46,detrás camioneta haber motorizado no tener pinta campesino más bien tener pinta chamo,1
47,indígena estar ganar odio gente más estar alfombra rata venezolana,1
48,pensar votar señor tratar Hp empleada no hacer ilícito después amenazar equiparar virgen prostituta decir venezolano no poder dar bala tocar sea verdad,1
49,Opinión ir pasar agenda pendiente dejar refugiado venezolano ir hacer tema expertar RedDeVenezuela explicar importancia atención agenda Va hilo,0
50,no sorprender gente especular video chama querer fama no carrera comenzar only ya perder tipo fe gente pueblo bueno ser decir ser san carlos saber quedar mierda,0
51,Ironías vida Venezolanos marchar sacar presidente Ecuador no país pasar aquí,1
52,ser poder entender no justificar no pensar acento llevar orgullo xq no querer dejar ser ser contrario creer trabajo ser ser mismo empatizar no avergüencer ser venezolano xq ocurrir no ser culpa,0
53,chama,0
54,Eso ser indignar manera obligadamente traer cortir agua tener pagar multa así caso más haber par hambre,0
55,repudiamos acto vandalico responsabilizamos Bélgica refugiado no respetar cumplir ley internacional asistir negociación paz velar bien ecuatoriano reparación económico inmediato,0
56,Señora ir ser bueno venir inversión cubano nicaragüense venezolano ruso nunca,0
57,Naguara chamo ufff triunfo Petro ya estar cambiar conchale valer,0
58,no estar pasar últimamente sentir acento extraño chamo Nawebona,0
59,vayas votar imagínatar vida llevar hermana Venezolanas acá Colombia gran mayoría trabajar burdel así,1
