Tweet_ID,Teaser_Tokens,Tag_Value
1,Avión venezolano : ocho tripulantes coinciden vuelos Paraguay Argentina @1000noticiaspy,0
2,Aquí pidiéndole consejos amigo veneco sobrevivir socialismo,0
3,"@DianaDvilaNarv1 Cínicos desinforman guión preparado , ecena novela # Venezolana # IzaTerroristaCorreaFinancista",0
4,@DianAngel01 No chama dime 🤭 🤭 🤣 😛 😅 😅,0
5,"Gobierno Bélgica albergan Rafael Correa refugiado , son corresponsables actos actual crisis social Ecuador , 18 millones queremos PAZ reparación económica , argumentaremos exigiremos petición . https://t.co/rSndohzNEU",0
6,"personas han tenido moverse condición Refugiadas decimos MiCasaEsTuCasa Hoy día mundial personas , conmemoramos Lucha esfuerzo vida digna . Únete aquí filtro 👇 💙 https://t.co/CQfxpCtWQZ # DíaDelRefugiado https://t.co/C9csIQWipC",0
7,es pasa dejas auténticos indocumentados cargo patrimonio hermandades más importantes Sevilla . Destrozan manto encima presumen . https://t.co/aLgWHjr57n,0
8,"Repudiamos actos vandalicos responsabilizamos Bélgica refugiado no respetar cumplir leyes internacionales asisten , negociaciones paz velarán bien ecuatorianos reparación económica inmediata https://t.co/EqVaPloKg3",0
9,@maria_belen @LassoGuillermo @CpccsEc @CJudicaturaEc @CorteConstEcu @CorteNacional @cnegobec @IESSec Buenas noches : Dije ilegal / no irregular . no tienes documentos ( indocumentado ) estar país / no existe legalidad estadía .,0
10,"@IglesiasJulio87 dijeron dos venezolanas Miami , así pensaron principio mira terminó . llorando joyas tuvo vender ( regalar ) poder salir infierno .",0
11,@AnderssonBoscan Da órdenes país veneco,1
12,grupo alumnos @iesebschool ha recaudado 400 donaciones favor proyectos atención personas refugiadas # Ucrania llevamos cabo inicio conflicto . https://t.co/fB7Tr14gqb,0
13,@tecnoloxia Na comunidá valenciana runrún asuntos sórdidos menores tutelados leva décadas soar no ambiente . Chama atención rompese rompeu .,0
14,"Ser venezolano , chavista vivir Venezuela apoyando socialismo debe ser acto maldad más grande existe .",0
15,AFIDRO Profamilia unieron prestar servicios salud sexual reproductiva población migrante refugiada Buenaventura https://t.co/ZgDaMpRXNa,0
16,@anaraffo1 @BancadaUNESec Venezuela regalan,0
17,# DíaMundialDeLosRefugiados es ocasión fomentar comprensión empatía personas refugiadas desplazadas consideración difíciles circunstancias encuentran .,0
18,@Polificcion Ahí no derechos humanos es solo venezolana quemo patrullero,1
19,conflicto Ucrania visibiliza doble rasero hora proteger personas refugiadas Estado español https://t.co/FXkHUturlF,0
20,"Gobierno Bélgica albergan Rafael Correa refugiado , son corresponsables actos actual crisis social Ecuador , 18 millones queremos PAZ reparación económica , argumentaremos exigiremos petición . https://t.co/3z8vpxb8bf",0
21,@Venereal14 asesinos chamos prrotestaban Maduro ?,0
22,"@LaPosta_Ecu Acto seguido , aumentará flujo personas venezolanas Colombia , llegará grupo gente necesitada principalmente delincuentes . Historia ya vivida Ecuador . pena Colombia no aprendió experiencia ...",1
23,"# Migración | cifra Agencia ONU Refugiados ( ACNUR ) , menos 6.659.220 ucranianos han huido país , partiendo principalmente naciones europeas 👇 https://t.co / HEq7iTna7e",0
24,@MariaCorinaYA Gracias única verdadera opositora venezolana,0
25,"Refugiado Universidad Salesiana Quito , Gonzalo Ulcuando , oriundo Cayambe - Cangahua , comenta recorrido ha debido realizar llegar capital razones sumarse # ParoNacionalEc2022 : 👉 https://t.co/BWeVViVZE9 https://t.co/Xxm1YpaRAu",0
26,"Es vergüenza está sucediendo . Personas , casi refugiadas , tienen explicar reciben ayuda . abrazo solidario @WilsonMerinoR https://t.co/YJnAGC17C7",0
27,@Teresa_Peyres @MariaCAlvarezS Media Latinoamérica ahora es izquierda Uruguay costa rica no estan llorando ? Honduras salvador gobiernos derecha presentan migración comparable venezolana ?,0
28,"@CarlosVerareal @LassoGuillermo caga miedo refugiado faldas militares , policías sacando ofensas prensa . Así son cobardes pantalones darle cara ineptitud mediocridad .",0
