modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.9095022624434389, 'recall': 0.9327146171693735, 'f1-score': 0.9209621993127147, 'support': 862.0}, '1': {'precision': 0.5, 'recall': 0.42028985507246375, 'f1-score': 0.4566929133858268, 'support': 138.0}, 'accuracy': 0.862, 'macro avg': {'precision': 0.7047511312217194, 'recall': 0.6765022361209186, 'f1-score': 0.6888275563492707, 'support': 1000.0}, 'weighted avg': {'precision': 0.8529909502262443, 'recall': 0.862, 'f1-score': 0.8568930378548042, 'support': 1000.0}}",0.862,0.6888275563492707,0.7047511312217194,0.6765022361209186,0.8568930378548042,"[0.7113227562300375, 0.6782758687520593, 0.6979074565281462, 0.6964775420005858, 0.6880767331236516]",0.6944120713268961,0.010981518058884074
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.908883826879271, 'recall': 0.925754060324826, 'f1-score': 0.9172413793103448, 'support': 862.0}, '1': {'precision': 0.47540983606557374, 'recall': 0.42028985507246375, 'f1-score': 0.4461538461538462, 'support': 138.0}, 'accuracy': 0.856, 'macro avg': {'precision': 0.6921468314724224, 'recall': 0.6730219576986449, 'f1-score': 0.6816976127320955, 'support': 1000.0}, 'weighted avg': {'precision': 0.8490644161469808, 'recall': 0.856, 'f1-score': 0.852231299734748, 'support': 1000.0}}",0.856,0.6816976127320955,0.6921468314724224,0.6730219576986449,0.852231299734748,"[0.7063689962946563, 0.6743274222696186, 0.6918782737933409, 0.6843434343434343, 0.6896531906334012]",0.6893142634668903,0.010458178461392435
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.896551724137931, 'recall': 0.9651972157772621, 'f1-score': 0.929608938547486, 'support': 862.0}, '1': {'precision': 0.5833333333333334, 'recall': 0.30434782608695654, 'f1-score': 0.4, 'support': 138.0}, 'accuracy': 0.874, 'macro avg': {'precision': 0.7399425287356323, 'recall': 0.6347725209321093, 'f1-score': 0.664804469273743, 'support': 1000.0}, 'weighted avg': {'precision': 0.8533275862068965, 'recall': 0.874, 'f1-score': 0.856522905027933, 'support': 1000.0}}",0.874,0.664804469273743,0.7399425287356323,0.6347725209321093,0.856522905027933,"[0.698058950395399, 0.6732722494495348, 0.7008372093023256, 0.6781691399964241, 0.6851851851851851]",0.6871045468657738,0.010802248574062461
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8907563025210085, 'recall': 0.9837587006960556, 'f1-score': 0.9349503858875413, 'support': 862.0}, '1': {'precision': 0.7083333333333334, 'recall': 0.2463768115942029, 'f1-score': 0.3655913978494624, 'support': 138.0}, 'accuracy': 0.882, 'macro avg': {'precision': 0.7995448179271709, 'recall': 0.6150677561451293, 'f1-score': 0.6502708918685018, 'support': 1000.0}, 'weighted avg': {'precision': 0.8655819327731094, 'recall': 0.882, 'f1-score': 0.8563788455382865, 'support': 1000.0}}",0.882,0.6502708918685018,0.7995448179271709,0.6150677561451293,0.8563788455382865,"[0.639350831496694, 0.6682027649769585, 0.6651785714285714, 0.6553308823529411, 0.6827426190307077]",0.6621611338571747,0.014395596531028567
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8923573735199138, 'recall': 0.9617169373549884, 'f1-score': 0.9257398101619208, 'support': 862.0}, '1': {'precision': 0.5352112676056338, 'recall': 0.2753623188405797, 'f1-score': 0.36363636363636365, 'support': 138.0}, 'accuracy': 0.867, 'macro avg': {'precision': 0.7137843205627739, 'recall': 0.6185396280977841, 'f1-score': 0.6446880868991423, 'support': 1000.0}, 'weighted avg': {'precision': 0.8430712109037433, 'recall': 0.867, 'f1-score': 0.8481695345413938, 'support': 1000.0}}",0.867,0.6446880868991423,0.7137843205627739,0.6185396280977841,0.8481695345413938,"[0.6718985545801188, 0.6623984914383041, 0.6961936141952433, 0.6968260014459068, 0.6920932298807436]",0.6838819783080633,0.014083262533432724
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8888888888888888, 'recall': 0.9837587006960556, 'f1-score': 0.933920704845815, 'support': 862.0}, '1': {'precision': 0.6956521739130435, 'recall': 0.2318840579710145, 'f1-score': 0.34782608695652173, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.7922705314009661, 'recall': 0.6078213793335351, 'f1-score': 0.6408733959011683, 'support': 1000.0}, 'weighted avg': {'precision': 0.8622222222222222, 'recall': 0.88, 'f1-score': 0.8530396475770925, 'support': 1000.0}}",0.88,0.6408733959011683,0.7922705314009661,0.6078213793335351,0.8530396475770925,"[0.6086105675146771, 0.6469016414302075, 0.6438746438746439, 0.580497561752706, 0.5894160583941606]",0.6138600945932791,0.027315724496090234
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8880753138075314, 'recall': 0.9849187935034803, 'f1-score': 0.933993399339934, 'support': 862.0}, '1': {'precision': 0.7045454545454546, 'recall': 0.2246376811594203, 'f1-score': 0.34065934065934067, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.7963103841764929, 'recall': 0.6047782373314503, 'f1-score': 0.6373263699996373, 'support': 1000.0}, 'weighted avg': {'precision': 0.8627481932293648, 'recall': 0.88, 'f1-score': 0.8521132992420121, 'support': 1000.0}}",0.88,0.6373263699996373,0.7963103841764929,0.6047782373314503,0.8521132992420121,"[0.6215911670969315, 0.6543315102871889, 0.6336996336996337, 0.580497561752706, 0.5772994129158513]",0.6134838571504623,0.030134188396133035
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8848547717842323, 'recall': 0.9895591647331786, 'f1-score': 0.9342825848849945, 'support': 862.0}, '1': {'precision': 0.75, 'recall': 0.1956521739130435, 'f1-score': 0.3103448275862069, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8174273858921162, 'recall': 0.5926056693231111, 'f1-score': 0.6223137062356007, 'support': 1000.0}, 'weighted avg': {'precision': 0.8662448132780082, 'recall': 0.88, 'f1-score': 0.8481791743777618, 'support': 1000.0}}",0.88,0.6223137062356007,0.8174273858921162,0.5926056693231111,0.8481791743777618,"[0.5981735159817352, 0.566650616689507, 0.6209994385176867, 0.5837800340543609, 0.6086105675146771]",0.5956428345515934,0.018967332672760462
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8801652892561983, 'recall': 0.988399071925754, 'f1-score': 0.9311475409836065, 'support': 862.0}, '1': {'precision': 0.6875, 'recall': 0.15942028985507245, 'f1-score': 0.25882352941176473, 'support': 138.0}, 'accuracy': 0.874, 'macro avg': {'precision': 0.7838326446280992, 'recall': 0.5739096808904133, 'f1-score': 0.5949855351976856, 'support': 1000.0}, 'weighted avg': {'precision': 0.853577479338843, 'recall': 0.874, 'f1-score': 0.8383668273866924, 'support': 1000.0}}",0.874,0.5949855351976856,0.7838326446280992,0.5739096808904133,0.8383668273866924,"[0.5279307631785995, 0.5697463768115942, 0.610471645143178, 0.5484639199809479, 0.5569720817638867]",0.5627169573756412,0.02748146618674059
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'0': {'precision': 0.8800413650465356, 'recall': 0.9872389791183295, 'f1-score': 0.9305631492618918, 'support': 862.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.15942028985507245, 'f1-score': 0.2573099415204678, 'support': 138.0}, 'accuracy': 0.873, 'macro avg': {'precision': 0.7733540158566011, 'recall': 0.5733296344867009, 'f1-score': 0.5939365453911798, 'support': 1000.0}, 'weighted avg': {'precision': 0.8505956566701137, 'recall': 0.873, 'f1-score': 0.8376542065935753, 'support': 1000.0}}",0.873,0.5939365453911798,0.7733540158566011,0.5733296344867009,0.8376542065935753,"[0.5357789855072463, 0.5697463768115942, 0.629484670580561, 0.566650616689507, 0.566650616689507]",0.5736622532556831,0.030544866784093933
