modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'0': {'precision': 0.9137343927355278, 'recall': 0.9338747099767981, 'f1-score': 0.9236947791164659, 'support': 862.0}, '1': {'precision': 0.5210084033613446, 'recall': 0.4492753623188406, 'f1-score': 0.48249027237354086, 'support': 138.0}, 'accuracy': 0.867, 'macro avg': {'precision': 0.7173713980484362, 'recall': 0.6915750361478193, 'f1-score': 0.7030925257450034, 'support': 1000.0}, 'weighted avg': {'precision': 0.8595382062018906, 'recall': 0.867, 'f1-score': 0.8628085571859422, 'support': 1000.0}}",0.867,0.7030925257450034,0.7173713980484362,0.6915750361478193,0.8628085571859422,"[0.6639107346911339, 0.6550187026377503, 0.6846283508237725, 0.6765811587793011, 0.6979074565281462]",0.6756092806920209,0.015101819107780566
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'0': {'precision': 0.9076396807297605, 'recall': 0.9234338747099768, 'f1-score': 0.9154686601495112, 'support': 862.0}, '1': {'precision': 0.4634146341463415, 'recall': 0.41304347826086957, 'f1-score': 0.4367816091954023, 'support': 138.0}, 'accuracy': 0.853, 'macro avg': {'precision': 0.685527157438051, 'recall': 0.6682386764854232, 'f1-score': 0.6761251346724568, 'support': 1000.0}, 'weighted avg': {'precision': 0.8463366243012488, 'recall': 0.853, 'f1-score': 0.8494098471178443, 'support': 1000.0}}",0.853,0.6761251346724568,0.685527157438051,0.6682386764854232,0.8494098471178443,"[0.6574609291372298, 0.6352345154436999, 0.6751106507204068, 0.6546499857758136, 0.6826923076923077]",0.6610296777538915,0.016651547499050685
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'0': {'precision': 0.8993506493506493, 'recall': 0.9640371229698376, 'f1-score': 0.9305711086226204, 'support': 862.0}, '1': {'precision': 0.5921052631578947, 'recall': 0.32608695652173914, 'f1-score': 0.4205607476635514, 'support': 138.0}, 'accuracy': 0.876, 'macro avg': {'precision': 0.745727956254272, 'recall': 0.6450620397457884, 'f1-score': 0.6755659281430859, 'support': 1000.0}, 'weighted avg': {'precision': 0.8569507860560492, 'recall': 0.876, 'f1-score': 0.8601896788102688, 'support': 1000.0}}",0.876,0.6755659281430859,0.745727956254272,0.6450620397457884,0.8601896788102688,"[0.6615228614885853, 0.6501838478222002, 0.6765406877766429, 0.6804411165763338, 0.6827426190307077]",0.670286226538894,0.01247640964405598
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Lematizacion,None,"{'0': {'precision': 0.896774193548387, 'recall': 0.9675174013921114, 'f1-score': 0.9308035714285714, 'support': 862.0}, '1': {'precision': 0.6, 'recall': 0.30434782608695654, 'f1-score': 0.40384615384615385, 'support': 138.0}, 'accuracy': 0.876, 'macro avg': {'precision': 0.7483870967741935, 'recall': 0.635932613739534, 'f1-score': 0.6673248626373627, 'support': 1000.0}, 'weighted avg': {'precision': 0.8558193548387096, 'recall': 0.876, 'f1-score': 0.8580834478021978, 'support': 1000.0}}",0.876,0.6673248626373627,0.7483870967741935,0.635932613739534,0.8580834478021978,"[0.6703182055294731, 0.6481481481481481, 0.6331272504925607, 0.685074436951266, 0.7080203169196143]",0.6689376716082125,0.02647392974364875
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'0': {'precision': 0.8897058823529411, 'recall': 0.9825986078886311, 'f1-score': 0.9338478500551268, 'support': 862.0}, '1': {'precision': 0.6875, 'recall': 0.2391304347826087, 'f1-score': 0.3548387096774194, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.7886029411764706, 'recall': 0.6108645213356199, 'f1-score': 0.6443432798662732, 'support': 1000.0}, 'weighted avg': {'precision': 0.8618014705882352, 'recall': 0.88, 'f1-score': 0.8539445886830032, 'support': 1000.0}}",0.88,0.6443432798662732,0.7886029411764706,0.6108645213356199,0.8539445886830032,"[0.6489681426567822, 0.6336996336996337, 0.6378186333689766, 0.6562662995613547, 0.6629515350359437]",0.6479408488645382,0.010963216837122446
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'0': {'precision': 0.8878306878306879, 'recall': 0.9733178654292344, 'f1-score': 0.9286109573879358, 'support': 862.0}, '1': {'precision': 0.5818181818181818, 'recall': 0.2318840579710145, 'f1-score': 0.3316062176165803, 'support': 138.0}, 'accuracy': 0.871, 'macro avg': {'precision': 0.7348244348244348, 'recall': 0.6026009617001244, 'f1-score': 0.6301085875022581, 'support': 1000.0}, 'weighted avg': {'precision': 0.845600962000962, 'recall': 0.871, 'f1-score': 0.8462243032994887, 'support': 1000.0}}",0.871,0.6301085875022581,0.7348244348244348,0.6026009617001244,0.8462243032994887,"[0.6104988980164295, 0.5741806397551111, 0.5832121740816129, 0.6014093626754345, 0.5864532096870203]",0.5911508568431216,0.01305880913376808
svc,frecuencia,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Lematizacion,None,"{'0': {'precision': 0.886411889596603, 'recall': 0.968677494199536, 'f1-score': 0.9257206208425721, 'support': 862.0}, '1': {'precision': 0.5344827586206896, 'recall': 0.2246376811594203, 'f1-score': 0.3163265306122449, 'support': 138.0}, 'accuracy': 0.866, 'macro avg': {'precision': 0.7104473241086463, 'recall': 0.5966575876794782, 'f1-score': 0.6210235757274085, 'support': 1000.0}, 'weighted avg': {'precision': 0.8378456695219269, 'recall': 0.866, 'f1-score': 0.8416242363907869, 'support': 1000.0}}",0.866,0.6210235757274085,0.7104473241086463,0.5966575876794782,0.8416242363907869,"[0.6259204015436702, 0.5726495726495726, 0.5975092928001515, 0.597945052490507, 0.5690981840566328]",0.5926245007081069,0.020558559305712144
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'0': {'precision': 0.8796296296296297, 'recall': 0.9918793503480279, 'f1-score': 0.9323882224645583, 'support': 862.0}, '1': {'precision': 0.75, 'recall': 0.15217391304347827, 'f1-score': 0.25301204819277107, 'support': 138.0}, 'accuracy': 0.876, 'macro avg': {'precision': 0.8148148148148149, 'recall': 0.5720266316957531, 'f1-score': 0.5927001353286647, 'support': 1000.0}, 'weighted avg': {'precision': 0.8617407407407408, 'recall': 0.876, 'f1-score': 0.8386343104150517, 'support': 1000.0}}",0.876,0.5927001353286647,0.8148148148148149,0.5720266316957531,0.8386343104150517,"[0.5484639199809479, 0.5256013336508693, 0.5512428242561995, 0.5794038750922975, 0.526759262821746]",0.5462942431604121,0.019673615020297013
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Lematizacion,None,"{'0': {'precision': 0.8771750255885363, 'recall': 0.994199535962877, 'f1-score': 0.9320282762370854, 'support': 862.0}, '1': {'precision': 0.782608695652174, 'recall': 0.13043478260869565, 'f1-score': 0.2236024844720497, 'support': 138.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.8298918606203551, 'recall': 0.5623171592857863, 'f1-score': 0.5778153803545676, 'support': 1000.0}, 'weighted avg': {'precision': 0.8641248720573182, 'recall': 0.875, 'f1-score': 0.8342655169735106, 'support': 1000.0}}",0.875,0.5778153803545676,0.8298918606203551,0.5623171592857863,0.8342655169735106,"[0.5279307631785995, 0.5195195195195195, 0.5422071165984601, 0.5498441768304413, 0.5279307631785995]",0.533486467861124,0.010958391416086422
naive_bayes,frecuencia,"(1, 1)",{},Solo Lematizacion,None,"{'0': {'precision': 0.8764044943820225, 'recall': 0.9953596287703016, 'f1-score': 0.9321021184139054, 'support': 862.0}, '1': {'precision': 0.8095238095238095, 'recall': 0.12318840579710146, 'f1-score': 0.2138364779874214, 'support': 138.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.8429641519529161, 'recall': 0.5592740172837015, 'f1-score': 0.5729692982006634, 'support': 1000.0}, 'weighted avg': {'precision': 0.8671749598715892, 'recall': 0.875, 'f1-score': 0.8329814600350507, 'support': 1000.0}}",0.875,0.5729692982006634,0.8429641519529161,0.5592740172837015,0.8329814600350507,"[0.5055721236854497, 0.5195195195195195, 0.5613866338347889, 0.5206262199253633, 0.5457561850996813]",0.5305721364129605,0.02013042879437851
