modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'0': {'precision': 0.9123196448390677, 'recall': 0.9535962877030162, 'f1-score': 0.9325014180374361, 'support': 862.0}, '1': {'precision': 0.5959595959595959, 'recall': 0.427536231884058, 'f1-score': 0.4978902953586498, 'support': 138.0}, 'accuracy': 0.881, 'macro avg': {'precision': 0.7541396203993318, 'recall': 0.6905662597935371, 'f1-score': 0.715195856698043, 'support': 1000.0}, 'weighted avg': {'precision': 0.8686619580937006, 'recall': 0.881, 'f1-score': 0.8725250831077637, 'support': 1000.0}}",0.881,0.715195856698043,0.7541396203993318,0.6905662597935371,0.8725250831077637,"[0.7041032267730397, 0.7088948787061995, 0.6973160748152926, 0.7181626320699168, 0.7066682739637956]",0.7070290172656488,0.006789262910000699
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'0': {'precision': 0.9108138238573021, 'recall': 0.9477958236658933, 'f1-score': 0.9289368959636157, 'support': 862.0}, '1': {'precision': 0.5631067961165048, 'recall': 0.42028985507246375, 'f1-score': 0.48132780082987553, 'support': 138.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.7369603099869035, 'recall': 0.6840428393691785, 'f1-score': 0.7051323483967457, 'support': 1000.0}, 'weighted avg': {'precision': 0.8628302540290721, 'recall': 0.875, 'f1-score': 0.8671668408351596, 'support': 1000.0}}",0.875,0.7051323483967457,0.7369603099869035,0.6840428393691785,0.8671668408351596,"[0.7104761904761905, 0.7181626320699168, 0.703672896467469, 0.7227412452534506, 0.6986317883189681]",0.710736950517199,0.00889660211428098
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'0': {'precision': 0.8943436499466382, 'recall': 0.9721577726218097, 'f1-score': 0.9316286826014453, 'support': 862.0}, '1': {'precision': 0.6190476190476191, 'recall': 0.2826086956521739, 'f1-score': 0.3880597014925373, 'support': 138.0}, 'accuracy': 0.877, 'macro avg': {'precision': 0.7566956344971286, 'recall': 0.6273832341369918, 'f1-score': 0.6598441920469913, 'support': 1000.0}, 'weighted avg': {'precision': 0.8563527976825736, 'recall': 0.877, 'f1-score': 0.856616163208416, 'support': 1000.0}}",0.877,0.6598441920469913,0.7566956344971286,0.6273832341369918,0.856616163208416,"[0.691906976744186, 0.6704468353203451, 0.6988959518233523, 0.6755312380710013, 0.6755312380710013]",0.6824624480059772,0.010951871633096074
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'0': {'precision': 0.8925184404636459, 'recall': 0.9825986078886311, 'f1-score': 0.9353948094975152, 'support': 862.0}, '1': {'precision': 0.7058823529411765, 'recall': 0.2608695652173913, 'f1-score': 0.38095238095238093, 'support': 138.0}, 'accuracy': 0.883, 'macro avg': {'precision': 0.7992003967024113, 'recall': 0.6217340865530112, 'f1-score': 0.6581735952249481, 'support': 1000.0}, 'weighted avg': {'precision': 0.8667626603855452, 'recall': 0.883, 'f1-score': 0.8588817543582867, 'support': 1000.0}}",0.883,0.6581735952249481,0.7992003967024113,0.6217340865530112,0.8588817543582867,"[0.6732722494495348, 0.7162893207773994, 0.6874373872971349, 0.6597164303586323, 0.6920932298807436]",0.6857617235526889,0.01902195717910504
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'0': {'precision': 0.8947368421052632, 'recall': 0.9663573085846868, 'f1-score': 0.9291689905186837, 'support': 862.0}, '1': {'precision': 0.5797101449275363, 'recall': 0.2898550724637681, 'f1-score': 0.3864734299516908, 'support': 138.0}, 'accuracy': 0.873, 'macro avg': {'precision': 0.7372234935163997, 'recall': 0.6281061905242274, 'f1-score': 0.6578212102351872, 'support': 1000.0}, 'weighted avg': {'precision': 0.8512631578947368, 'recall': 0.873, 'f1-score': 0.8542770031604388, 'support': 1000.0}}",0.873,0.6578212102351872,0.7372234935163997,0.6281061905242274,0.8542770031604388,"[0.664519489273049, 0.6629515350359437, 0.6961936141952433, 0.6922129886118806, 0.6827426190307077]",0.6797240492293648,0.013775542214698757
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'0': {'precision': 0.8809034907597536, 'recall': 0.9953596287703016, 'f1-score': 0.934640522875817, 'support': 862.0}, '1': {'precision': 0.8461538461538461, 'recall': 0.15942028985507245, 'f1-score': 0.2682926829268293, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8635286684567999, 'recall': 0.577389959312687, 'f1-score': 0.6014666029013231, 'support': 1000.0}, 'weighted avg': {'precision': 0.8761080398041383, 'recall': 0.88, 'f1-score': 0.8426845209628567, 'support': 1000.0}}",0.88,0.6014666029013231,0.8635286684567999,0.577389959312687,0.8426845209628567,"[0.5094833224329627, 0.6209994385176867, 0.577762139338494, 0.5395867937173996, 0.5681879784280921]",0.563203934486927,0.037472058406918134
naive_bayes,frecuencia,"(1, 1)",{},Solo Stopwords,None,"{'0': {'precision': 0.880781089414183, 'recall': 0.994199535962877, 'f1-score': 0.9340599455040872, 'support': 862.0}, '1': {'precision': 0.8148148148148148, 'recall': 0.15942028985507245, 'f1-score': 0.26666666666666666, 'support': 138.0}, 'accuracy': 0.879, 'macro avg': {'precision': 0.8477979521144989, 'recall': 0.5768099129089748, 'f1-score': 0.6003633060853769, 'support': 1000.0}, 'weighted avg': {'precision': 0.8716777435194701, 'recall': 0.879, 'f1-score': 0.8419596730245231, 'support': 1000.0}}",0.879,0.6003633060853769,0.8477979521144989,0.5768099129089748,0.8419596730245231,"[0.588873661987481, 0.611096707285455, 0.6142719382835101, 0.5697463768115942, 0.5713265063110264]",0.5910630381358134,0.01891414841891769
naive_bayes,binaria,"(1, 1)",{},Solo Stopwords,None,"{'0': {'precision': 0.880781089414183, 'recall': 0.994199535962877, 'f1-score': 0.9340599455040872, 'support': 862.0}, '1': {'precision': 0.8148148148148148, 'recall': 0.15942028985507245, 'f1-score': 0.26666666666666666, 'support': 138.0}, 'accuracy': 0.879, 'macro avg': {'precision': 0.8477979521144989, 'recall': 0.5768099129089748, 'f1-score': 0.6003633060853769, 'support': 1000.0}, 'weighted avg': {'precision': 0.8716777435194701, 'recall': 0.879, 'f1-score': 0.8419596730245231, 'support': 1000.0}}",0.879,0.6003633060853769,0.8477979521144989,0.5768099129089748,0.8419596730245231,"[0.6142719382835101, 0.6181818181818182, 0.6315272318921954, 0.5945909422607412, 0.5810688405797102]",0.607928154239595,0.01789749501990879
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'0': {'precision': 0.878323108384458, 'recall': 0.9965197215777262, 'f1-score': 0.933695652173913, 'support': 862.0}, '1': {'precision': 0.8636363636363636, 'recall': 0.13768115942028986, 'f1-score': 0.2375, 'support': 138.0}, 'accuracy': 0.878, 'macro avg': {'precision': 0.8709797360104108, 'recall': 0.567100440499008, 'f1-score': 0.5855978260869565, 'support': 1000.0}, 'weighted avg': {'precision': 0.8762963376092209, 'recall': 0.878, 'f1-score': 0.8376206521739131, 'support': 1000.0}}",0.878,0.5855978260869565,0.8709797360104108,0.567100440499008,0.8376206521739131,"[0.5104873439291135, 0.5628988547949996, 0.5854545454545454, 0.5184256681100685, 0.6054018504671214]",0.5565336525511697,0.03697976643886995
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'0': {'precision': 0.8781985670419652, 'recall': 0.9953596287703016, 'f1-score': 0.933115823817292, 'support': 862.0}, '1': {'precision': 0.8260869565217391, 'recall': 0.13768115942028986, 'f1-score': 0.2360248447204969, 'support': 138.0}, 'accuracy': 0.877, 'macro avg': {'precision': 0.8521427617818522, 'recall': 0.5665203940952958, 'f1-score': 0.5845703342688944, 'support': 1000.0}, 'weighted avg': {'precision': 0.871007164790174, 'recall': 0.877, 'f1-score': 0.8369172687019342, 'support': 1000.0}}",0.877,0.5845703342688944,0.8521427617818522,0.5665203940952958,0.8369172687019342,"[0.5613866338347889, 0.5713265063110264, 0.588873661987481, 0.5291163082718568, 0.587152175708034]",0.5675710572226375,0.021763912232268753
