modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'0': {'precision': 0.9142538975501113, 'recall': 0.9524361948955916, 'f1-score': 0.9329545454545455, 'support': 862.0}, '1': {'precision': 0.5980392156862745, 'recall': 0.4420289855072464, 'f1-score': 0.5083333333333333, 'support': 138.0}, 'accuracy': 0.882, 'macro avg': {'precision': 0.7561465566181929, 'recall': 0.697232590201419, 'f1-score': 0.7206439393939394, 'support': 1000.0}, 'weighted avg': {'precision': 0.8706162714529019, 'recall': 0.882, 'f1-score': 0.8743568181818182, 'support': 1000.0}}",0.882,0.7206439393939394,0.7561465566181929,0.697232590201419,0.8743568181818182,"[0.7212736038569707, 0.6705281473493394, 0.7015330348663682, 0.7159090909090908, 0.703008563931136]",0.702450488182581,0.017638779348036936
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'0': {'precision': 0.9114064230343301, 'recall': 0.9547563805104409, 'f1-score': 0.9325779036827195, 'support': 862.0}, '1': {'precision': 0.5979381443298969, 'recall': 0.42028985507246375, 'f1-score': 0.49361702127659574, 'support': 138.0}, 'accuracy': 0.881, 'macro avg': {'precision': 0.7546722836821135, 'recall': 0.6875231177914523, 'f1-score': 0.7130974624796577, 'support': 1000.0}, 'weighted avg': {'precision': 0.8681478005731182, 'recall': 0.881, 'f1-score': 0.8720013019106745, 'support': 1000.0}}",0.881,0.7130974624796577,0.7546722836821135,0.6875231177914523,0.8720013019106745,"[0.6911410204901567, 0.6805026757900903, 0.6973160748152926, 0.7215231246935774, 0.720439841316329]",0.702184547421089,0.016266538636946187
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'0': {'precision': 0.8946808510638298, 'recall': 0.9756380510440835, 'f1-score': 0.9334073251942286, 'support': 862.0}, '1': {'precision': 0.65, 'recall': 0.2826086956521739, 'f1-score': 0.3939393939393939, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.7723404255319148, 'recall': 0.6291233733481287, 'f1-score': 0.6636733595668113, 'support': 1000.0}, 'weighted avg': {'precision': 0.8609148936170213, 'recall': 0.88, 'f1-score': 0.8589607506810615, 'support': 1000.0}}",0.88,0.6636733595668113,0.7723404255319148,0.6291233733481287,0.8589607506810615,"[0.6501865671641791, 0.6510613550450712, 0.6942079386017508, 0.7012844767499751, 0.6737107361422805]",0.6740902147406513,0.02119484583538517
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'0': {'precision': 0.8938428874734607, 'recall': 0.9767981438515081, 'f1-score': 0.9334811529933481, 'support': 862.0}, '1': {'precision': 0.6551724137931034, 'recall': 0.2753623188405797, 'f1-score': 0.3877551020408163, 'support': 138.0}, 'accuracy': 0.88, 'macro avg': {'precision': 0.7745076506332821, 'recall': 0.6260802313460438, 'f1-score': 0.6606181275170822, 'support': 1000.0}, 'weighted avg': {'precision': 0.8609063621055715, 'recall': 0.88, 'f1-score': 0.8581709579618987, 'support': 1000.0}}",0.88,0.6606181275170822,0.7745076506332821,0.6260802313460438,0.8581709579618987,"[0.6452957346812095, 0.6710423258874025, 0.6759259259259259, 0.6898399072652652, 0.6666666666666667]",0.6697541120852939,0.014497823928774611
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'0': {'precision': 0.8909853249475891, 'recall': 0.9860788863109049, 'f1-score': 0.9361233480176211, 'support': 862.0}, '1': {'precision': 0.7391304347826086, 'recall': 0.2463768115942029, 'f1-score': 0.3695652173913043, 'support': 138.0}, 'accuracy': 0.884, 'macro avg': {'precision': 0.8150578798650989, 'recall': 0.6162278489525539, 'f1-score': 0.6528442827044627, 'support': 1000.0}, 'weighted avg': {'precision': 0.8700293501048217, 'recall': 0.884, 'f1-score': 0.8579383259911894, 'support': 1000.0}}",0.884,0.6528442827044627,0.8150578798650989,0.6162278489525539,0.8579383259911894,"[0.6489681426567822, 0.639921722113503, 0.6898323155956189, 0.6727210557595396, 0.6727210557595396]",0.6648328583769965,0.01800929810925016
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'0': {'precision': 0.8820459290187892, 'recall': 0.9802784222737819, 'f1-score': 0.9285714285714286, 'support': 862.0}, '1': {'precision': 0.5952380952380952, 'recall': 0.18115942028985507, 'f1-score': 0.2777777777777778, 'support': 138.0}, 'accuracy': 0.87, 'macro avg': {'precision': 0.7386420121284423, 'recall': 0.5807189212818185, 'f1-score': 0.6031746031746033, 'support': 1000.0}, 'weighted avg': {'precision': 0.8424664479570535, 'recall': 0.87, 'f1-score': 0.8387619047619048, 'support': 1000.0}}",0.87,0.6031746031746033,0.7386420121284423,0.5807189212818185,0.8387619047619048,"[0.6159401260504201, 0.5964264771825739, 0.5471014492753623, 0.5527272727272727, 0.5832121740816129]",0.5790814998634484,0.026052784709701148
svc,frecuencia,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'0': {'precision': 0.8807531380753139, 'recall': 0.9767981438515081, 'f1-score': 0.9262926292629263, 'support': 862.0}, '1': {'precision': 0.5454545454545454, 'recall': 0.17391304347826086, 'f1-score': 0.26373626373626374, 'support': 138.0}, 'accuracy': 0.866, 'macro avg': {'precision': 0.7131038417649296, 'recall': 0.5753555936648844, 'f1-score': 0.595014446499595, 'support': 1000.0}, 'weighted avg': {'precision': 0.8344819322936478, 'recall': 0.866, 'f1-score': 0.8348598508202469, 'support': 1000.0}}",0.866,0.595014446499595,0.7131038417649296,0.5753555936648844,0.8348598508202469,"[0.5962447478991597, 0.5981735159817352, 0.5569720817638867, 0.5513473094352201, 0.5780904871813962]",0.5761656284522795,0.01936783119355575
naive_bayes,frecuencia,"(1, 1)",{},Solo Tokenizacion,None,"{'0': {'precision': 0.8755102040816326, 'recall': 0.9953596287703016, 'f1-score': 0.9315960912052117, 'support': 862.0}, '1': {'precision': 0.8, 'recall': 0.11594202898550725, 'f1-score': 0.20253164556962025, 'support': 138.0}, 'accuracy': 0.874, 'macro avg': {'precision': 0.8377551020408163, 'recall': 0.5556508288779044, 'f1-score': 0.567063868387416, 'support': 1000.0}, 'weighted avg': {'precision': 0.8650897959183672, 'recall': 0.874, 'f1-score': 0.8309851977075001, 'support': 1000.0}}",0.874,0.567063868387416,0.8377551020408163,0.5556508288779044,0.8309851977075001,"[0.5303163923542643, 0.5217462393721386, 0.5613866338347889, 0.5094833224329627, 0.5713265063110264]",0.5388518188610362,0.023623658262957876
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'0': {'precision': 0.8748728382502543, 'recall': 0.9976798143851509, 'f1-score': 0.9322493224932249, 'support': 862.0}, '1': {'precision': 0.8823529411764706, 'recall': 0.10869565217391304, 'f1-score': 0.1935483870967742, 'support': 138.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.8786128897133625, 'recall': 0.553187733279532, 'f1-score': 0.5628988547949996, 'support': 1000.0}, 'weighted avg': {'precision': 0.8759050924540721, 'recall': 0.875, 'f1-score': 0.8303085934085147, 'support': 1000.0}}",0.875,0.5628988547949996,0.8786128897133625,0.553187733279532,0.8303085934085147,"[0.5084901748601827, 0.5206262199253633, 0.5315315315315315, 0.5422071165984601, 0.5512428242561995]",0.5308195734343475,0.015164423459017416
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'0': {'precision': 0.873855544252289, 'recall': 0.9965197215777262, 'f1-score': 0.9311653116531166, 'support': 862.0}, '1': {'precision': 0.8235294117647058, 'recall': 0.10144927536231885, 'f1-score': 0.18064516129032257, 'support': 138.0}, 'accuracy': 0.873, 'macro avg': {'precision': 0.8486924780084975, 'recall': 0.5489844984700225, 'f1-score': 0.5559052364717195, 'support': 1000.0}, 'weighted avg': {'precision': 0.8669105379690024, 'recall': 0.873, 'f1-score': 0.8275935309030509, 'support': 1000.0}}",0.873,0.5559052364717195,0.8486924780084975,0.5489844984700225,0.8275935309030509,"[0.4980946184589646, 0.5217462393721386, 0.552660492858264, 0.532762264990544, 0.5395867937173996]",0.5289700818794623,0.018405482538327595
