modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,"{'0': {'precision': 0.9123196448390677, 'recall': 0.9535962877030162, 'f1-score': 0.9325014180374361, 'support': 862.0}, '1': {'precision': 0.5959595959595959, 'recall': 0.427536231884058, 'f1-score': 0.4978902953586498, 'support': 138.0}, 'accuracy': 0.881, 'macro avg': {'precision': 0.7541396203993318, 'recall': 0.6905662597935371, 'f1-score': 0.715195856698043, 'support': 1000.0}, 'weighted avg': {'precision': 0.8686619580937006, 'recall': 0.881, 'f1-score': 0.8725250831077637, 'support': 1000.0}}",0.881,0.715195856698043,0.7541396203993318,0.6905662597935371,0.8725250831077637,"[0.7041032267730397, 0.7088948787061995, 0.6973160748152926, 0.7181626320699168, 0.7066682739637956]",0.7070290172656488,0.006789262910000699
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,"{'0': {'precision': 0.9108138238573021, 'recall': 0.9477958236658933, 'f1-score': 0.9289368959636157, 'support': 862.0}, '1': {'precision': 0.5631067961165048, 'recall': 0.42028985507246375, 'f1-score': 0.48132780082987553, 'support': 138.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.7369603099869035, 'recall': 0.6840428393691785, 'f1-score': 0.7051323483967457, 'support': 1000.0}, 'weighted avg': {'precision': 0.8628302540290721, 'recall': 0.875, 'f1-score': 0.8671668408351596, 'support': 1000.0}}",0.875,0.7051323483967457,0.7369603099869035,0.6840428393691785,0.8671668408351596,"[0.7104761904761905, 0.7181626320699168, 0.703672896467469, 0.7227412452534506, 0.6986317883189681]",0.710736950517199,0.00889660211428098
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.8943436499466382, 'recall': 0.9721577726218097, 'f1-score': 0.9316286826014453, 'support': 862.0}, '1': {'precision': 0.6190476190476191, 'recall': 0.2826086956521739, 'f1-score': 0.3880597014925373, 'support': 138.0}, 'accuracy': 0.877, 'macro avg': {'precision': 0.7566956344971286, 'recall': 0.6273832341369918, 'f1-score': 0.6598441920469913, 'support': 1000.0}, 'weighted avg': {'precision': 0.8563527976825736, 'recall': 0.877, 'f1-score': 0.856616163208416, 'support': 1000.0}}",0.877,0.6598441920469913,0.7566956344971286,0.6273832341369918,0.856616163208416,"[0.691906976744186, 0.6704468353203451, 0.6988959518233523, 0.6755312380710013, 0.6755312380710013]",0.6824624480059772,0.010951871633096074
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,"{'0': {'precision': 0.8925184404636459, 'recall': 0.9825986078886311, 'f1-score': 0.9353948094975152, 'support': 862.0}, '1': {'precision': 0.7058823529411765, 'recall': 0.2608695652173913, 'f1-score': 0.38095238095238093, 'support': 138.0}, 'accuracy': 0.883, 'macro avg': {'precision': 0.7992003967024113, 'recall': 0.6217340865530112, 'f1-score': 0.6581735952249481, 'support': 1000.0}, 'weighted avg': {'precision': 0.8667626603855452, 'recall': 0.883, 'f1-score': 0.8588817543582867, 'support': 1000.0}}",0.883,0.6581735952249481,0.7992003967024113,0.6217340865530112,0.8588817543582867,"[0.6732722494495348, 0.7162893207773994, 0.6874373872971349, 0.6597164303586323, 0.6920932298807436]",0.6857617235526889,0.01902195717910504
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.8947368421052632, 'recall': 0.9663573085846868, 'f1-score': 0.9291689905186837, 'support': 862.0}, '1': {'precision': 0.5797101449275363, 'recall': 0.2898550724637681, 'f1-score': 0.3864734299516908, 'support': 138.0}, 'accuracy': 0.873, 'macro avg': {'precision': 0.7372234935163997, 'recall': 0.6281061905242274, 'f1-score': 0.6578212102351872, 'support': 1000.0}, 'weighted avg': {'precision': 0.8512631578947368, 'recall': 0.873, 'f1-score': 0.8542770031604388, 'support': 1000.0}}",0.873,0.6578212102351872,0.7372234935163997,0.6281061905242274,0.8542770031604388,"[0.664519489273049, 0.6629515350359437, 0.6961936141952433, 0.6922129886118806, 0.6827426190307077]",0.6797240492293648,0.013775542214698757
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.8827160493827161, 'recall': 0.9953596287703016, 'f1-score': 0.935659760087241, 'support': 862.0}, '1': {'precision': 0.8571428571428571, 'recall': 0.17391304347826086, 'f1-score': 0.2891566265060241, 'support': 138.0}, 'accuracy': 0.882, 'macro avg': {'precision': 0.8699294532627866, 'recall': 0.5846363361242812, 'f1-score': 0.6124081932966325, 'support': 1000.0}, 'weighted avg': {'precision': 0.8791869488536156, 'recall': 0.882, 'f1-score': 0.8464423276530331, 'support': 1000.0}}",0.882,0.6124081932966325,0.8699294532627866,0.5846363361242812,0.8464423276530331,"[0.5206262199253633, 0.5981614510224864, 0.5761429003935816, 0.5395867937173996, 0.5761429003935816]",0.5621320530904825,0.028006242541885194
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.8810256410256411, 'recall': 0.9965197215777262, 'f1-score': 0.9352204681545999, 'support': 862.0}, '1': {'precision': 0.88, 'recall': 0.15942028985507245, 'f1-score': 0.26993865030674846, 'support': 138.0}, 'accuracy': 0.881, 'macro avg': {'precision': 0.8805128205128205, 'recall': 0.5779700057163993, 'f1-score': 0.6025795592306742, 'support': 1000.0}, 'weighted avg': {'precision': 0.8808841025641027, 'recall': 0.881, 'f1-score': 0.8434115772915963, 'support': 1000.0}}",0.881,0.6025795592306742,0.8805128205128205,0.5779700057163993,0.8434115772915963,"[0.5827577994760658, 0.6072727272727273, 0.5598952131459871, 0.5315315315315315, 0.5697463768115942]",0.5702407296475812,0.025034863692054612
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.880781089414183, 'recall': 0.994199535962877, 'f1-score': 0.9340599455040872, 'support': 862.0}, '1': {'precision': 0.8148148148148148, 'recall': 0.15942028985507245, 'f1-score': 0.26666666666666666, 'support': 138.0}, 'accuracy': 0.879, 'macro avg': {'precision': 0.8477979521144989, 'recall': 0.5768099129089748, 'f1-score': 0.6003633060853769, 'support': 1000.0}, 'weighted avg': {'precision': 0.8716777435194701, 'recall': 0.879, 'f1-score': 0.8419596730245231, 'support': 1000.0}}",0.879,0.6003633060853769,0.8477979521144989,0.5768099129089748,0.8419596730245231,"[0.588873661987481, 0.611096707285455, 0.6142719382835101, 0.5697463768115942, 0.5713265063110264]",0.5910630381358134,0.01891414841891769
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.880781089414183, 'recall': 0.994199535962877, 'f1-score': 0.9340599455040872, 'support': 862.0}, '1': {'precision': 0.8148148148148148, 'recall': 0.15942028985507245, 'f1-score': 0.26666666666666666, 'support': 138.0}, 'accuracy': 0.879, 'macro avg': {'precision': 0.8477979521144989, 'recall': 0.5768099129089748, 'f1-score': 0.6003633060853769, 'support': 1000.0}, 'weighted avg': {'precision': 0.8716777435194701, 'recall': 0.879, 'f1-score': 0.8419596730245231, 'support': 1000.0}}",0.879,0.6003633060853769,0.8477979521144989,0.5768099129089748,0.8419596730245231,"[0.6142719382835101, 0.6181818181818182, 0.6315272318921954, 0.5945909422607412, 0.5810688405797102]",0.607928154239595,0.01789749501990879
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'0': {'precision': 0.8761514841351075, 'recall': 0.9930394431554525, 'f1-score': 0.9309407286568787, 'support': 862.0}, '1': {'precision': 0.7391304347826086, 'recall': 0.12318840579710146, 'f1-score': 0.2111801242236025, 'support': 138.0}, 'accuracy': 0.873, 'macro avg': {'precision': 0.807640959458858, 'recall': 0.558113924476277, 'f1-score': 0.5710604264402406, 'support': 1000.0}, 'weighted avg': {'precision': 0.8572425793244627, 'recall': 0.873, 'f1-score': 0.8316137652450866, 'support': 1000.0}}",0.873,0.5710604264402406,0.807640959458858,0.558113924476277,0.8316137652450866,"[0.5104873439291135, 0.5827577994760658, 0.5963636363636364, 0.5303163923542643, 0.5963636363636364]",0.5632577616973433,0.03589456826274099
