DOI,Titulo_Tokens,Abstract_Tokens,Autores,Fecha,Seccion
10.48550./arXiv.2504.08736,gigatok scale visual tokenizer billion parameter autoregressive image generation,autoregressive ar image generation visual tokenizer compress image compact discrete latent token enable efficient training downstream autoregressive model visual generation next token prediction scale visual tokenizer improve image reconstruction quality often degrade downstream generation quality challenge not adequately address exist literature to address introduce gigatok first approach to simultaneously improve image reconstruction generation representation learning scale visual tokenizer identify grow complexity latent space key factor reconstruction generation dilemma to mitigate propose semantic regularization align tokenizer feature semantically consistent feature pre train visual encoder constraint prevent excessive latent space complexity scale yield consistent improvement reconstruction downstream autoregressive generation build semantic regularization explore three key practice scale use tokenizer well scalability prioritize decoder scale expand encoder decoder employ entropy loss to stabilize training billion scale tokenizer scale parameter gigatok achieve state art performance reconstruction downstream generation downstream representation quality,"Tianwei Xiong, Jun Hao Liew, Zilong Huang, Jiashi Feng, Xihui Liu",11/04/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11652,bring Rear Cameras egocentric 3d Human Pose Estimation,egocentric 3d human pose estimation have be actively study use camera instal front head mount device HMD frontal placement be optimal only option task such hand tracking remain unclear same hold full body tracking due self occlusion limited field view coverage notably even state art method often fail to estimate accurate 3d pose many scenario such when HMD user tilt head upward common motion human activity key limitation exist HMD design be neglect back body potential to provide crucial 3d reconstruction cue hence paper investigate usefulness rear camera HMD design full body tracking also show simply add rear view frontal input be not optimal exist method dependence individual 2d joint detector effective multi view integration to address issue propose new transformer base method that refine 2D joint heatmap estimation multi view information heatmap uncertainty thereby improve 3d pose tracking moreover introduce two new large scale dataset ego4view syn ego4view RW rear view evaluation experiment show new camera configuration back view provide superior support 3d pose track compare only frontal placement propose method achieve significant improvement current state art > 10 MPJPE will release source code train model new dataset project page https url,"Hiroyasu Akada, Jian Wang, Vladislav Golyanik, Christian Theobalt",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11651,VGGT Visual Geometry Grounded Transformer,present VGGT feed forward neural network that directly infer key 3d attribute scene include camera parameter point map depth map 3d point track one few hundred view approach be step forward 3d computer vision where model have typically be constrain specialize single task be also simple efficient reconstruct image one second still outperform alternative that require post processing visual geometry optimization technique network achieve state art result multiple 3d task include camera parameter estimation multi view depth estimation dense point cloud reconstruction 3d point tracking also show use pretraine VGGT feature backbone significantly enhance downstream task such non rigid point tracking feed forward novel view synthesis code model be publicly available https url,"Jianyuan Wang, Minghao Chen, Nikita Karaev, Andrea Vedaldi, Christian Rupprecht, David Novotny",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11647,recammaster Camera Controlled Generative rendering Single video,camera control have be actively study text image condition video generation task however alter camera trajectory give video remain under explore importance field video creation be non trivial due extra constraint maintain multiple frame appearance dynamic synchronization to address present recammaster camera control generative video re render framework that reproduce dynamic scene input video novel camera trajectory core innovation lie harness generative capability pre train text video model simple yet powerful video conditioning mechanism capability often overlook current research to overcome scarcity qualified training datum construct comprehensive multi camera synchronized video dataset use Unreal Engine 5 which be carefully curate to follow real world filming characteristic cover diverse scene camera movement help model generalize wild video lastly far improve robustness to diverse input meticulously design training strategy extensive experiment tell method substantially outperform exist state art approach strong baseline method also find promising application video stabilization super resolution outpainte project page https url,"Jianhong Bai, Menghan Xia, Xiao Fu, Xintao Wang, Lianrui Mu, Jinwen Cao, Zuozhu Liu, Haoji Hu, Xiang Bai, Pengfei Wan, Di Zhang",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11633,see see Glass real Synthetic Data Multi layer Depth estimation,"transparent object be common daily life understand multi layer depth information perceive both transparent surface object be crucial real world application that interact transparent material paper introduce LayeredDepth first dataset multi layer depth annotation include real world benchmark synthetic data generator to support task multi layer depth estimation real world benchmark consist 1,500 image diverse scene evaluate state art depth estimation method reveal struggle transparent object synthetic datum generator be fully procedural capable provide training datum task unlimited variety object scene composition use generator create synthetic dataset 15,300 image baseline model train solely synthetic dataset produce good cross domain multi layer depth estimation fine tune state art single layer depth model substantially improve performance transparent object quadruplet accuracy benchmark increase 55.14 75.20 image validation annotation be available CC0 https url","Hongyu Wen, Yiming Zuo, Venkat Subramanian, Patrick Chen, Jia Deng",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11609,rethink Few Shot Adaptation Vision Language Models two stage,old school recipe train classifier be i learn good feature extractor ii optimize linear layer atop when only handful sample be available category Few Shot Adaptation FSA datum be insufficient to fit large number parameter render above impractical be especially true large pre train Vision Language Models VLMs which motivate successful research intersection Parameter Efficient Fine tuning PEFT FSA work start analyze learn dynamic peft technique when train few shot datum only subset category refer ` ` base class show such dynamic naturally split two distinct phase i task level feature extraction ii specialization available concept to accommodate dynamic then depart prompt- adapter base method tackle FSA differently specifically give fix computational budget split i learn task specific feature extractor PEFT ii train linear classifier top call scheme two Stage Few Shot Adaptation 2sfs differently established method scheme enable novel form selective inference category level i.e. test time only novel category be embed adapt text encoder embedding base category be available classifier result fix hyperparameter two setting three backbone eleven dataset show 2sfs match surpass state art establish method degrade significantly setting,"Matteo Farina, Massimiliano Mancini, Giovanni Iacca, Elisa Ricci",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11601,advance 3d Gaussian Splatting Editing Complementary Consensus information,present novel framework enhance visual fidelity consistency text guide 3d Gaussian Splatting 3dgs editing exist editing approach face two critical challenge inconsistent geometric reconstruction multiple viewpoint particularly challenge camera position ineffective utilization depth information image manipulation result texture artifact degrade object boundary to address limitation introduce 1 complementary information mutual learning network that enhance depth map estimation 3dgs enable precise depth condition 3d editing preserve geometric structure 2 wavelet consensus attention mechanism that effectively align latent code diffusion denoising process ensure multi view consistency edit result extensive experimentation method demonstrate superior performance render quality view consistency compare state art approach result validate framework effective solution text guide editing 3d scene,"Xuanqi Zhang, Jieun Lee, Chris Joslin, Wonsook Lee",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11579,Vamba Understanding Hour Long Videos Hybrid Mamba transformer,state art transformer base large multimodal model LMMs struggle to handle hour long video input quadratic complexity causal self attention operation lead high computational cost training inference exist token compression base method reduce number video token often incur information loss remain inefficient extremely long sequence paper explore orthogonal direction to build hybrid Mamba Transformer model VAMBA that employ Mamba-2 block encode video token linear complexity token reduction VAMBA can encode more 1024 frame 640$\times$360 single GPU transformer base model can only encode 256 frame long video input VAMBA achieve least 50 reduction GPU memory usage training inference nearly double speed training step compare transformer base lmm experimental result demonstrate VAMBA improve accuracy 4.3 challenging hour long video understand benchmark LVBench prior efficient video LMMs maintain strong performance broad spectrum long short video understanding task,"Weiming Ren, Wentao Ma, Huan Yang, Cong Wei, Ge Zhang, Wenhu Chen",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11576,SmolDocling ultra compact vision language model end end multi modal document conversion,introduce SmolDocling ultra compact vision language model target end end document conversion model comprehensively process entire page generate DocTags new universal markup format that capture page element full context location exist approach that rely large foundational model ensemble solution that rely handcraft pipeline multiple specialized model SmolDocling offer end end conversion accurately capture content structure spatial location document element 256 M parameter vision language model SmolDocling exhibit robust performance correctly reproduce document feature such code listing table equation chart list more diverse range document type include business document academic paper technical report patent form significantly extend commonly observe focus scientific paper additionally contribute novel publicly source dataset chart table equation code recognition experimental result demonstrate SmolDocling compete other Vision Language Models that be up to 27 time large size reduce computational requirement substantially model be currently available dataset will be publicly available soon,"Ahmed Nassar, Andres Marafioti, Matteo Omenetti, Maksym Lysak, Nikolaos Livathinos, Christoph Auer, Lucas Morin, Rafael Teixeira de Lima, Yusik Kim, A. Said Gurbuz, Michele Dolfi, Miquel Farré, Peter W. J. Staar",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11571,RASA replace Anyone say anything training Free Framework Audio drive Universal Portrait Video editing,portrait video editing focus modify specific attribute portrait video guide audio video stream previous method typically concentrate lip region reenactment require train specialized model to extract keypoint motion transfer new identity paper introduce training free universal portrait video editing framework that provide versatile adaptable editing strategy framework support portrait appearance editing condition change first reference frame as well lip editing condition varied speech combination be base Unified Animation Control UAC mechanism source inversion latent to edit entire portrait include visual drive shape control audio drive speaking control inter frame temporal control furthermore method can be adapt different scenario adjust initial reference frame enable detailed editing portrait video specific head rotation facial expression comprehensive approach ensure holistic flexible solution portrait video editing experimental result show model can achieve more accurate synchronized lip movement lip edit task as well more flexible motion transfer appearance edit task demo be available https url,"Tianrui Pan, Lin Liu, Jie Liu, Xiaopeng Zhang, Jie Tang, Gangshan Wu, Qi Tian",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11565,disentangle Object Centric Image Representation Robotic Manipulation,learn robotic manipulation skill vision be promising approach develop robotic application that can generalize broadly real world scenario such many approach to enable vision have be explore fruitful result particularly object centric representation method have be show to provide well inductive bias skill learning lead improved performance generalization nonetheless show object centric method can struggle to learn simple manipulation skill multi object environment thus propose DOCIR object centric framework that introduce disentangle representation object interest obstacle robot embodiment show approach lead state art performance learn pick place skill visual input multi object environment generalize test time change object interest distractor scene furthermore show efficacy simulation zero shot transfer real world,"David Emukpere, Romain Deffayet, Bingbing Wu, Romain Brégier, Michael Niemaz, Jean-Luc Meunier, Denys Proux, Jean-Michel Renders, Seungsu Kim",14/03/2025,Computer Vision and Pattern Recognition
