modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
naive_bayes,binaria,"(1, 1)",{},Desconocido,None,"{'Clickbait': {'precision': 0.5022026431718062, 'recall': 0.57, 'f1-score': 0.5339578454332553, 'support': 200.0}, 'No': {'precision': 0.8181818181818182, 'recall': 0.774, 'f1-score': 0.7954779033915724, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6601922306768122, 'recall': 0.6719999999999999, 'f1-score': 0.6647178744124138, 'support': 700.0}, 'weighted avg': {'precision': 0.7279020538932435, 'recall': 0.7157142857142857, 'f1-score': 0.7207578868320533, 'support': 700.0}}",0.7157142857142857,0.6647178744124138,0.6601922306768122,0.6719999999999999,0.7207578868320533,[0.59218045 0.61526718 0.59784239 0.59506703 0.60159612],0.6003906342180636,0.008062333618332643
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Desconocido,None,"{'Clickbait': {'precision': 0.5153061224489796, 'recall': 0.505, 'f1-score': 0.51010101010101, 'support': 200.0}, 'No': {'precision': 0.8035714285714286, 'recall': 0.81, 'f1-score': 0.8067729083665338, 'support': 500.0}, 'accuracy': 0.7228571428571429, 'macro avg': {'precision': 0.659438775510204, 'recall': 0.6575, 'f1-score': 0.658436959233772, 'support': 700.0}, 'weighted avg': {'precision': 0.7212099125364431, 'recall': 0.7228571428571429, 'f1-score': 0.7220095088620985, 'support': 700.0}}",0.7228571428571429,0.658436959233772,0.659438775510204,0.6575,0.7220095088620985,[0.48125677 0.4539545  0.47868516 0.44911298 0.45732239],0.46406635913745814,0.013270674124639682
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,"{'Clickbait': {'precision': 0.5224719101123596, 'recall': 0.465, 'f1-score': 0.49206349206349204, 'support': 200.0}, 'No': {'precision': 0.7950191570881227, 'recall': 0.83, 'f1-score': 0.812133072407045, 'support': 500.0}, 'accuracy': 0.7257142857142858, 'macro avg': {'precision': 0.6587455336002411, 'recall': 0.6475, 'f1-score': 0.6520982822352686, 'support': 700.0}, 'weighted avg': {'precision': 0.7171485150950475, 'recall': 0.7257142857142858, 'f1-score': 0.7206846208803156, 'support': 700.0}}",0.7257142857142858,0.6520982822352686,0.6587455336002411,0.6475,0.7206846208803156,[0.63809524 0.62271202 0.62680997 0.62651972 0.60903783],0.6246349556158728,0.009342701584399664
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Desconocido,None,"{'Clickbait': {'precision': 0.5133689839572193, 'recall': 0.48, 'f1-score': 0.49612403100775193, 'support': 200.0}, 'No': {'precision': 0.797270955165692, 'recall': 0.818, 'f1-score': 0.807502467917078, 'support': 500.0}, 'accuracy': 0.7214285714285714, 'macro avg': {'precision': 0.6553199695614557, 'recall': 0.649, 'f1-score': 0.6518132494624149, 'support': 700.0}, 'weighted avg': {'precision': 0.7161561062489855, 'recall': 0.7214285714285714, 'f1-score': 0.7185372002286992, 'support': 700.0}}",0.7214285714285714,0.6518132494624149,0.6553199695614557,0.649,0.7185372002286992,[0.59821429 0.59948703 0.62265951 0.60761983 0.59378734],0.6043535974798613,0.010186218781421159
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,"{'Clickbait': {'precision': 0.5025906735751295, 'recall': 0.485, 'f1-score': 0.49363867684478374, 'support': 200.0}, 'No': {'precision': 0.796844181459566, 'recall': 0.808, 'f1-score': 0.8023833167825224, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6497174275173478, 'recall': 0.6465000000000001, 'f1-score': 0.648010996813653, 'support': 700.0}, 'weighted avg': {'precision': 0.7127717506354413, 'recall': 0.7157142857142857, 'f1-score': 0.7141705625145971, 'support': 700.0}}",0.7157142857142857,0.648010996813653,0.6497174275173478,0.6465000000000001,0.7141705625145971,[0.60544711 0.60652619 0.61305452 0.63264235 0.60119571],0.6117731762502321,0.011104928031135415
mlp,tfidf,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,"{'Clickbait': {'precision': 0.5027027027027027, 'recall': 0.465, 'f1-score': 0.4831168831168831, 'support': 200.0}, 'No': {'precision': 0.7922330097087379, 'recall': 0.816, 'f1-score': 0.8039408866995074, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6474678562057203, 'recall': 0.6405, 'f1-score': 0.6435288849081953, 'support': 700.0}, 'weighted avg': {'precision': 0.7095100648498707, 'recall': 0.7157142857142857, 'f1-score': 0.7122768856759004, 'support': 700.0}}",0.7157142857142857,0.6435288849081953,0.6474678562057203,0.6405,0.7122768856759004,[0.63174603 0.61038961 0.6367495  0.609723   0.59666323],0.6170542732410093,0.014951318754706894
naive_bayes,frecuencia,"(1, 1)",{},Desconocido,None,"{'Clickbait': {'precision': 0.47368421052631576, 'recall': 0.54, 'f1-score': 0.5046728971962616, 'support': 200.0}, 'No': {'precision': 0.8050847457627118, 'recall': 0.76, 'f1-score': 0.7818930041152263, 'support': 500.0}, 'accuracy': 0.6971428571428572, 'macro avg': {'precision': 0.6393844781445138, 'recall': 0.65, 'f1-score': 0.643282950655744, 'support': 700.0}, 'weighted avg': {'precision': 0.710398878552313, 'recall': 0.6971428571428572, 'f1-score': 0.7026872592812364, 'support': 700.0}}",0.6971428571428572,0.643282950655744,0.6393844781445138,0.65,0.7026872592812364,[0.62122983 0.63452206 0.59400206 0.59258163 0.60506844],0.609480805893893,0.016184850883965027
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Desconocido,None,"{'Clickbait': {'precision': 0.4948453608247423, 'recall': 0.48, 'f1-score': 0.4873096446700508, 'support': 200.0}, 'No': {'precision': 0.7944664031620553, 'recall': 0.804, 'f1-score': 0.7992047713717694, 'support': 500.0}, 'accuracy': 0.7114285714285714, 'macro avg': {'precision': 0.6446558819933987, 'recall': 0.642, 'f1-score': 0.64325720802091, 'support': 700.0}, 'weighted avg': {'precision': 0.7088603910656801, 'recall': 0.7114285714285714, 'f1-score': 0.7100918780284212, 'support': 700.0}}",0.7114285714285714,0.64325720802091,0.6446558819933987,0.642,0.7100918780284212,[0.59058627 0.60550607 0.60841049 0.61251915 0.58244963],0.5998943225237201,0.011439932864079266
naive_bayes,tfidf,"(1, 1)",{},Desconocido,None,"{'Clickbait': {'precision': 0.45318352059925093, 'recall': 0.605, 'f1-score': 0.5182012847965739, 'support': 200.0}, 'No': {'precision': 0.8175519630484989, 'recall': 0.708, 'f1-score': 0.7588424437299035, 'support': 500.0}, 'accuracy': 0.6785714285714286, 'macro avg': {'precision': 0.6353677418238749, 'recall': 0.6565, 'f1-score': 0.6385218642632386, 'support': 700.0}, 'weighted avg': {'precision': 0.7134466937772852, 'recall': 0.6785714285714286, 'f1-score': 0.6900878268918094, 'support': 700.0}}",0.6785714285714286,0.6385218642632386,0.6353677418238749,0.6565,0.6900878268918094,[0.44078322 0.4332755  0.42551064 0.41747573 0.43516592],0.4304422017484801,0.008120683235169705
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,"{'Clickbait': {'precision': 0.48205128205128206, 'recall': 0.47, 'f1-score': 0.4759493670886076, 'support': 200.0}, 'No': {'precision': 0.7900990099009901, 'recall': 0.798, 'f1-score': 0.7940298507462686, 'support': 500.0}, 'accuracy': 0.7042857142857143, 'macro avg': {'precision': 0.6360751459761361, 'recall': 0.634, 'f1-score': 0.634989608917438, 'support': 700.0}, 'weighted avg': {'precision': 0.7020853733725021, 'recall': 0.7042857142857143, 'f1-score': 0.7031497125583654, 'support': 700.0}}",0.7042857142857143,0.634989608917438,0.6360751459761361,0.634,0.7031497125583654,[0.6040404  0.58147779 0.60913082 0.57063345 0.58310515],0.5896775214808413,0.014545318755546537
