modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5022026431718062, 'recall': 0.57, 'f1-score': 0.5339578454332553, 'support': 200.0}, 'No': {'precision': 0.8181818181818182, 'recall': 0.774, 'f1-score': 0.7954779033915724, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6601922306768122, 'recall': 0.6719999999999999, 'f1-score': 0.6647178744124138, 'support': 700.0}, 'weighted avg': {'precision': 0.7279020538932435, 'recall': 0.7157142857142857, 'f1-score': 0.7207578868320533, 'support': 700.0}}",0.7157142857142857,0.6647178744124138,0.6601922306768122,0.6719999999999999,0.7207578868320533,"[0.5838212773623997, 0.5598554649183847, 0.5993984962406015, 0.5751207414175695, 0.5801331285202254]",0.5796658216918361,0.01280603469103791
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5153061224489796, 'recall': 0.505, 'f1-score': 0.51010101010101, 'support': 200.0}, 'No': {'precision': 0.8035714285714286, 'recall': 0.81, 'f1-score': 0.8067729083665338, 'support': 500.0}, 'accuracy': 0.7228571428571429, 'macro avg': {'precision': 0.659438775510204, 'recall': 0.6575, 'f1-score': 0.658436959233772, 'support': 700.0}, 'weighted avg': {'precision': 0.7212099125364431, 'recall': 0.7228571428571429, 'f1-score': 0.7220095088620985, 'support': 700.0}}",0.7228571428571429,0.658436959233772,0.659438775510204,0.6575,0.7220095088620985,"[0.45619733146067415, 0.4850112046002283, 0.4709245362245502, 0.4428002857434432, 0.4709245362245502]",0.4651715788506892,0.01442785956738006
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5133689839572193, 'recall': 0.48, 'f1-score': 0.49612403100775193, 'support': 200.0}, 'No': {'precision': 0.797270955165692, 'recall': 0.818, 'f1-score': 0.807502467917078, 'support': 500.0}, 'accuracy': 0.7214285714285714, 'macro avg': {'precision': 0.6553199695614557, 'recall': 0.649, 'f1-score': 0.6518132494624149, 'support': 700.0}, 'weighted avg': {'precision': 0.7161561062489855, 'recall': 0.7214285714285714, 'f1-score': 0.7185372002286992, 'support': 700.0}}",0.7214285714285714,0.6518132494624149,0.6553199695614557,0.649,0.7185372002286992,"[0.5963679745493107, 0.6059804427015103, 0.6323232323232323, 0.5649600473512874, 0.5987044534412955]",0.5996672300733273,0.021553058692405855
mlp,frecuencia,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5077720207253886, 'recall': 0.49, 'f1-score': 0.49872773536895676, 'support': 200.0}, 'No': {'precision': 0.7988165680473372, 'recall': 0.81, 'f1-score': 0.8043694141012909, 'support': 500.0}, 'accuracy': 0.7185714285714285, 'macro avg': {'precision': 0.6532942943863629, 'recall': 0.65, 'f1-score': 0.6515485747351238, 'support': 700.0}, 'weighted avg': {'precision': 0.715660983098209, 'recall': 0.7185714285714285, 'f1-score': 0.7170432201777669, 'support': 700.0}}",0.7185714285714285,0.6515485747351238,0.6532942943863629,0.65,0.7170432201777669,"[0.6223656605676942, 0.640367744261507, 0.6346464520939481, 0.5879090928912502, 0.6130121329347635]",0.6196602165498326,0.018509669129310773
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5025906735751295, 'recall': 0.485, 'f1-score': 0.49363867684478374, 'support': 200.0}, 'No': {'precision': 0.796844181459566, 'recall': 0.808, 'f1-score': 0.8023833167825224, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6497174275173478, 'recall': 0.6465000000000001, 'f1-score': 0.648010996813653, 'support': 700.0}, 'weighted avg': {'precision': 0.7127717506354413, 'recall': 0.7157142857142857, 'f1-score': 0.7141705625145971, 'support': 700.0}}",0.7157142857142857,0.648010996813653,0.6497174275173478,0.6465000000000001,0.7141705625145971,"[0.5893792860910849, 0.6551545591052659, 0.6630894308943089, 0.5689237348538846, 0.6067724897976686]",0.6166639001484426,0.036764858975124444
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.47368421052631576, 'recall': 0.54, 'f1-score': 0.5046728971962616, 'support': 200.0}, 'No': {'precision': 0.8050847457627118, 'recall': 0.76, 'f1-score': 0.7818930041152263, 'support': 500.0}, 'accuracy': 0.6971428571428572, 'macro avg': {'precision': 0.6393844781445138, 'recall': 0.65, 'f1-score': 0.643282950655744, 'support': 700.0}, 'weighted avg': {'precision': 0.710398878552313, 'recall': 0.6971428571428572, 'f1-score': 0.7026872592812364, 'support': 700.0}}",0.6971428571428572,0.643282950655744,0.6393844781445138,0.65,0.7026872592812364,"[0.5814043209876544, 0.6045450193099486, 0.6415770609318996, 0.581973632685028, 0.5836873406966865]",0.5986374749222433,0.02313818866452421
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.4948453608247423, 'recall': 0.48, 'f1-score': 0.4873096446700508, 'support': 200.0}, 'No': {'precision': 0.7944664031620553, 'recall': 0.804, 'f1-score': 0.7992047713717694, 'support': 500.0}, 'accuracy': 0.7114285714285714, 'macro avg': {'precision': 0.6446558819933987, 'recall': 0.642, 'f1-score': 0.64325720802091, 'support': 700.0}, 'weighted avg': {'precision': 0.7088603910656801, 'recall': 0.7114285714285714, 'f1-score': 0.7100918780284212, 'support': 700.0}}",0.7114285714285714,0.64325720802091,0.6446558819933987,0.642,0.7100918780284212,"[0.6059804427015103, 0.6293153195967276, 0.6210526315789473, 0.5614149588826525, 0.5801331285202254]",0.5995792962560126,0.025381016435846202
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5, 'recall': 0.45, 'f1-score': 0.47368421052631576, 'support': 200.0}, 'No': {'precision': 0.7884615384615384, 'recall': 0.82, 'f1-score': 0.803921568627451, 'support': 500.0}, 'accuracy': 0.7142857142857143, 'macro avg': {'precision': 0.6442307692307692, 'recall': 0.635, 'f1-score': 0.6388028895768834, 'support': 700.0}, 'weighted avg': {'precision': 0.7060439560439561, 'recall': 0.7142857142857143, 'f1-score': 0.7095680377414123, 'support': 700.0}}",0.7142857142857143,0.6388028895768834,0.6442307692307692,0.635,0.7095680377414123,"[0.6287954383464005, 0.6260683760683761, 0.6366568914956012, 0.5681665199606483, 0.6150051430610659]",0.6149384737864183,0.02439344161402908
naive_bayes,tfidf,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.45318352059925093, 'recall': 0.605, 'f1-score': 0.5182012847965739, 'support': 200.0}, 'No': {'precision': 0.8175519630484989, 'recall': 0.708, 'f1-score': 0.7588424437299035, 'support': 500.0}, 'accuracy': 0.6785714285714286, 'macro avg': {'precision': 0.6353677418238749, 'recall': 0.6565, 'f1-score': 0.6385218642632386, 'support': 700.0}, 'weighted avg': {'precision': 0.7134466937772852, 'recall': 0.6785714285714286, 'f1-score': 0.6900878268918094, 'support': 700.0}}",0.6785714285714286,0.6385218642632386,0.6353677418238749,0.6565,0.6900878268918094,"[0.4512524779239503, 0.4166666666666667, 0.4237507228628771, 0.4255106380533109, 0.44381021964473266]",0.43219814503030757,0.013078351500668191
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.48205128205128206, 'recall': 0.47, 'f1-score': 0.4759493670886076, 'support': 200.0}, 'No': {'precision': 0.7900990099009901, 'recall': 0.798, 'f1-score': 0.7940298507462686, 'support': 500.0}, 'accuracy': 0.7042857142857143, 'macro avg': {'precision': 0.6360751459761361, 'recall': 0.634, 'f1-score': 0.634989608917438, 'support': 700.0}, 'weighted avg': {'precision': 0.7020853733725021, 'recall': 0.7042857142857143, 'f1-score': 0.7031497125583654, 'support': 700.0}}",0.7042857142857143,0.634989608917438,0.6360751459761361,0.634,0.7031497125583654,"[0.5962927362675156, 0.5712535728868926, 0.6001459191572279, 0.5394695109242327, 0.5686868686868687]",0.5751697215845475,0.021917394179018612
