modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.717741935483871, 'recall': 0.445, 'f1-score': 0.5493827160493827, 'support': 200.0}, 'No': {'precision': 0.8072916666666666, 'recall': 0.93, 'f1-score': 0.8643122676579925, 'support': 500.0}, 'accuracy': 0.7914285714285715, 'macro avg': {'precision': 0.7625168010752688, 'recall': 0.6875, 'f1-score': 0.7068474918536876, 'support': 700.0}, 'weighted avg': {'precision': 0.7817060291858678, 'recall': 0.7914285714285715, 'f1-score': 0.7743323957698182, 'support': 700.0}}",0.7914285714285715,0.7068474918536876,0.7625168010752688,0.6875,0.7743323957698182,"[0.6571428571428571, 0.616505706760316, 0.6095956526402345, 0.666618559676721, 0.676057924794828]",0.6451841402029913,0.026998625208618378
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6298701298701299, 'recall': 0.485, 'f1-score': 0.5480225988700564, 'support': 200.0}, 'No': {'precision': 0.8113553113553114, 'recall': 0.886, 'f1-score': 0.847036328871893, 'support': 500.0}, 'accuracy': 0.7714285714285715, 'macro avg': {'precision': 0.7206127206127206, 'recall': 0.6855, 'f1-score': 0.6975294638709747, 'support': 700.0}, 'weighted avg': {'precision': 0.7595024023595452, 'recall': 0.7714285714285715, 'f1-score': 0.7616038345856538, 'support': 700.0}}",0.7714285714285715,0.6975294638709747,0.7206127206127206,0.6855,0.7616038345856538,"[0.5491165935929208, 0.5542857142857143, 0.5677791678437386, 0.5790622674274374, 0.5899078269020466]",0.5680303140103715,0.015146190825017858
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.7387387387387387, 'recall': 0.41, 'f1-score': 0.5273311897106109, 'support': 200.0}, 'No': {'precision': 0.799660441426146, 'recall': 0.942, 'f1-score': 0.8650137741046832, 'support': 500.0}, 'accuracy': 0.79, 'macro avg': {'precision': 0.7691995900824424, 'recall': 0.6759999999999999, 'f1-score': 0.696172481907647, 'support': 700.0}, 'weighted avg': {'precision': 0.7822542406583154, 'recall': 0.79, 'f1-score': 0.7685330357063768, 'support': 700.0}}",0.79,0.696172481907647,0.7691995900824424,0.6759999999999999,0.7685330357063768,"[0.6176117120069923, 0.5846479868142218, 0.6371323529411765, 0.6470229684426343, 0.6719191919191919]",0.6316668424248434,0.029306154729984234
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.7256637168141593, 'recall': 0.41, 'f1-score': 0.5239616613418531, 'support': 200.0}, 'No': {'precision': 0.7989778534923339, 'recall': 0.938, 'f1-score': 0.8629254829806807, 'support': 500.0}, 'accuracy': 0.7871428571428571, 'macro avg': {'precision': 0.7623207851532465, 'recall': 0.6739999999999999, 'f1-score': 0.6934435721612668, 'support': 700.0}, 'weighted avg': {'precision': 0.7780309572985697, 'recall': 0.7871428571428571, 'f1-score': 0.7660786767981586, 'support': 700.0}}",0.7871428571428571,0.6934435721612668,0.7623207851532465,0.6739999999999999,0.7660786767981586,"[0.6428571428571428, 0.613580603261654, 0.6273291925465838, 0.661262698117824, 0.6590417087602829]",0.6408142691086974,0.018319776110531774
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6012658227848101, 'recall': 0.475, 'f1-score': 0.5307262569832403, 'support': 200.0}, 'No': {'precision': 0.8062730627306273, 'recall': 0.874, 'f1-score': 0.8387715930902111, 'support': 500.0}, 'accuracy': 0.76, 'macro avg': {'precision': 0.7037694427577187, 'recall': 0.6745, 'f1-score': 0.6847489250367257, 'support': 700.0}, 'weighted avg': {'precision': 0.747699565603251, 'recall': 0.76, 'f1-score': 0.7507586399167909, 'support': 700.0}}",0.76,0.6847489250367257,0.7037694427577187,0.6745,0.7507586399167909,"[0.6578295257815947, 0.629192562872053, 0.6818181818181819, 0.7073780141105621, 0.7145220332320594]",0.6781480635628903,0.03162407143927329
naive_bayes,binaria,"(1, 1)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5260869565217391, 'recall': 0.605, 'f1-score': 0.5627906976744186, 'support': 200.0}, 'No': {'precision': 0.8319148936170213, 'recall': 0.782, 'f1-score': 0.8061855670103093, 'support': 500.0}, 'accuracy': 0.7314285714285714, 'macro avg': {'precision': 0.6790009250693803, 'recall': 0.6935, 'f1-score': 0.6844881323423639, 'support': 700.0}, 'weighted avg': {'precision': 0.7445354830183691, 'recall': 0.7314285714285714, 'f1-score': 0.7366441757714834, 'support': 700.0}}",0.7314285714285714,0.6844881323423639,0.6790009250693803,0.6935,0.7366441757714834,"[0.6535353535353535, 0.6464646464646464, 0.6961938897422768, 0.6710612191619892, 0.6642083278945308]",0.6662926873597593,0.01718758927770287
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.5642458100558659, 'recall': 0.505, 'f1-score': 0.5329815303430079, 'support': 200.0}, 'No': {'precision': 0.8099808061420346, 'recall': 0.844, 'f1-score': 0.8266405484818805, 'support': 500.0}, 'accuracy': 0.7471428571428571, 'macro avg': {'precision': 0.6871133080989502, 'recall': 0.6745, 'f1-score': 0.6798110394124441, 'support': 700.0}, 'weighted avg': {'precision': 0.7397708072602721, 'recall': 0.7471428571428571, 'f1-score': 0.7427379718707741, 'support': 700.0}}",0.7471428571428571,0.6798110394124441,0.6871133080989502,0.6745,0.7427379718707741,"[0.6656025599223531, 0.6435662065260552, 0.702646095755037, 0.702646095755037, 0.6920821114369502]",0.6813086138790865,0.023228490949419412
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5911949685534591, 'recall': 0.47, 'f1-score': 0.5236768802228412, 'support': 200.0}, 'No': {'precision': 0.8040665434380776, 'recall': 0.87, 'f1-score': 0.8357348703170029, 'support': 500.0}, 'accuracy': 0.7557142857142857, 'macro avg': {'precision': 0.6976307559957684, 'recall': 0.6699999999999999, 'f1-score': 0.6797058752699221, 'support': 700.0}, 'weighted avg': {'precision': 0.7432460934710438, 'recall': 0.7557142857142857, 'f1-score': 0.7465754445758138, 'support': 700.0}}",0.7557142857142857,0.6797058752699221,0.6976307559957684,0.6699999999999999,0.7465754445758138,"[0.693796394485684, 0.603700208996552, 0.6633154079962591, 0.714331983805668, 0.7168787609746473]",0.678404551251762,0.041991368298311745
naive_bayes,frecuencia,"(1, 1)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5154185022026432, 'recall': 0.585, 'f1-score': 0.5480093676814989, 'support': 200.0}, 'No': {'precision': 0.8245243128964059, 'recall': 0.78, 'f1-score': 0.8016443987667009, 'support': 500.0}, 'accuracy': 0.7242857142857143, 'macro avg': {'precision': 0.6699714075495246, 'recall': 0.6825, 'f1-score': 0.6748268832240999, 'support': 700.0}, 'weighted avg': {'precision': 0.7362083669839024, 'recall': 0.7242857142857143, 'f1-score': 0.7291772470280717, 'support': 700.0}}",0.7242857142857143,0.6748268832240999,0.6699714075495246,0.6825,0.7291772470280717,"[0.6707241592737776, 0.6594901360237817, 0.6916722464685905, 0.6739130434782609, 0.6608628164222046]",0.6713324803333229,0.01158093630283297
naive_bayes,tfidf,"(1, 1)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.4907749077490775, 'recall': 0.665, 'f1-score': 0.564755838641189, 'support': 200.0}, 'No': {'precision': 0.8438228438228438, 'recall': 0.724, 'f1-score': 0.7793326157158235, 'support': 500.0}, 'accuracy': 0.7071428571428572, 'macro avg': {'precision': 0.6672988757859606, 'recall': 0.6945, 'f1-score': 0.6720442271785062, 'support': 700.0}, 'weighted avg': {'precision': 0.7429520049446249, 'recall': 0.7071428571428572, 'f1-score': 0.7180249651230707, 'support': 700.0}}",0.7071428571428572,0.6720442271785062,0.6672988757859606,0.6945,0.7180249651230707,"[0.4512524779239503, 0.4512524779239503, 0.45732239290565535, 0.43422074067309013, 0.5008667778759036]",0.4589829734605099,0.022314568762071194
