modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7349397590361446, 'recall': 0.61, 'f1-score': 0.6666666666666666, 'support': 200.0}, 'No': {'precision': 0.8539325842696629, 'recall': 0.912, 'f1-score': 0.8820116054158608, 'support': 500.0}, 'accuracy': 0.8257142857142857, 'macro avg': {'precision': 0.7944361716529038, 'recall': 0.761, 'f1-score': 0.7743391360412637, 'support': 700.0}, 'weighted avg': {'precision': 0.8199346342029434, 'recall': 0.8257142857142857, 'f1-score': 0.8204844800589481, 'support': 700.0}}",0.8257142857142857,0.7743391360412637,0.7944361716529038,0.761,0.8204844800589481,"[0.7342857829279816, 0.6915205281617496, 0.7366898148148149, 0.7653558459294205, 0.7844810572269896]",0.7424666058121913,0.03157508969452228
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7407407407407407, 'recall': 0.6, 'f1-score': 0.6629834254143646, 'support': 200.0}, 'No': {'precision': 0.8513011152416357, 'recall': 0.916, 'f1-score': 0.882466281310212, 'support': 500.0}, 'accuracy': 0.8257142857142857, 'macro avg': {'precision': 0.7960209279911882, 'recall': 0.758, 'f1-score': 0.7727248533622884, 'support': 700.0}, 'weighted avg': {'precision': 0.8197124368128086, 'recall': 0.8257142857142857, 'f1-score': 0.8197568939113985, 'support': 700.0}}",0.8257142857142857,0.7727248533622884,0.7960209279911882,0.758,0.8197568939113985,"[0.6144430844553244, 0.6283928418528983, 0.6164899701073636, 0.6400282552389922, 0.6870033670033671]",0.6372715037315891,0.026505461348711717
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7452229299363057, 'recall': 0.585, 'f1-score': 0.6554621848739496, 'support': 200.0}, 'No': {'precision': 0.8471454880294659, 'recall': 0.92, 'f1-score': 0.8820709491850431, 'support': 500.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.7961842089828858, 'recall': 0.7525, 'f1-score': 0.7687665670294963, 'support': 700.0}, 'weighted avg': {'precision': 0.8180247571457059, 'recall': 0.8242857142857143, 'f1-score': 0.8173255879533021, 'support': 700.0}}",0.8242857142857143,0.7687665670294963,0.7961842089828858,0.7525,0.8173255879533021,"[0.7096836419753086, 0.7030715871946502, 0.7544666095410464, 0.758018052621471, 0.7885396016237138]",0.742755898591238,0.032046342345577246
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7283950617283951, 'recall': 0.59, 'f1-score': 0.6519337016574586, 'support': 200.0}, 'No': {'precision': 0.8475836431226765, 'recall': 0.912, 'f1-score': 0.8786127167630058, 'support': 500.0}, 'accuracy': 0.82, 'macro avg': {'precision': 0.7879893524255358, 'recall': 0.751, 'f1-score': 0.7652732092102321, 'support': 700.0}, 'weighted avg': {'precision': 0.8135297627243104, 'recall': 0.82, 'f1-score': 0.8138472838757066, 'support': 700.0}}",0.82,0.7652732092102321,0.7879893524255358,0.751,0.8138472838757066,"[0.7306895531222255, 0.7101010101010101, 0.7454545454545454, 0.7532959143714919, 0.7695885509838998]",0.7418259148066346,0.02022859336708762
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7941176470588235, 'recall': 0.54, 'f1-score': 0.6428571428571429, 'support': 200.0}, 'No': {'precision': 0.8368794326241135, 'recall': 0.944, 'f1-score': 0.8872180451127819, 'support': 500.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.8154985398414685, 'recall': 0.742, 'f1-score': 0.7650375939849624, 'support': 700.0}, 'weighted avg': {'precision': 0.8246617796054593, 'recall': 0.8285714285714286, 'f1-score': 0.8174006444683136, 'support': 700.0}}",0.8285714285714286,0.7650375939849624,0.8154985398414685,0.742,0.8174006444683136,"[0.7255544171863277, 0.676057924794828, 0.6983867196633153, 0.7383838383838384, 0.770347295864263]",0.7217460391785145,0.032516038691793536
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8547008547008547, 'recall': 0.5, 'f1-score': 0.6309148264984227, 'support': 200.0}, 'No': {'precision': 0.8284734133790738, 'recall': 0.966, 'f1-score': 0.8919667590027701, 'support': 500.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.8415871340399642, 'recall': 0.733, 'f1-score': 0.7614407927505964, 'support': 700.0}, 'weighted avg': {'precision': 0.8359669680424398, 'recall': 0.8328571428571429, 'f1-score': 0.8173804925729566, 'support': 700.0}}",0.8328571428571429,0.7614407927505964,0.8415871340399642,0.733,0.8173804925729566,"[0.7264437689969605, 0.6755048287971905, 0.6976294995610184, 0.6949404761904762, 0.7550689238414794]",0.709917499477425,0.02782555220715283
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7108433734939759, 'recall': 0.59, 'f1-score': 0.644808743169399, 'support': 200.0}, 'No': {'precision': 0.846441947565543, 'recall': 0.904, 'f1-score': 0.874274661508704, 'support': 500.0}, 'accuracy': 0.8142857142857143, 'macro avg': {'precision': 0.7786426605297594, 'recall': 0.747, 'f1-score': 0.7595417023390515, 'support': 700.0}, 'weighted avg': {'precision': 0.8076994978308096, 'recall': 0.8142857142857143, 'f1-score': 0.8087129705546168, 'support': 700.0}}",0.8142857142857143,0.7595417023390515,0.7786426605297594,0.747,0.8087129705546168,"[0.7347368421052631, 0.7351589946851635, 0.7076691729323308, 0.7028062545303925, 0.8015552049715307]",0.736385293844936,0.035223588688748225
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8461538461538461, 'recall': 0.495, 'f1-score': 0.6246056782334385, 'support': 200.0}, 'No': {'precision': 0.8267581475128645, 'recall': 0.964, 'f1-score': 0.8901200369344414, 'support': 500.0}, 'accuracy': 0.83, 'macro avg': {'precision': 0.8364559968333554, 'recall': 0.7295, 'f1-score': 0.75736285758394, 'support': 700.0}, 'weighted avg': {'precision': 0.8322997756960022, 'recall': 0.83, 'f1-score': 0.8142587915912977, 'support': 700.0}}",0.83,0.75736285758394,0.8364559968333554,0.7295,0.8142587915912977,"[0.7053727634614897, 0.6681299385425812, 0.7075616209441582, 0.7124863088718509, 0.7781191329578426]",0.7143339529555846,0.03558915936764932
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.6918604651162791, 'recall': 0.595, 'f1-score': 0.6397849462365591, 'support': 200.0}, 'No': {'precision': 0.8465909090909091, 'recall': 0.894, 'f1-score': 0.8696498054474708, 'support': 500.0}, 'accuracy': 0.8085714285714286, 'macro avg': {'precision': 0.7692256871035941, 'recall': 0.7444999999999999, 'f1-score': 0.7547173758420149, 'support': 700.0}, 'weighted avg': {'precision': 0.8023822108124433, 'recall': 0.8085714285714286, 'f1-score': 0.8039741313872103, 'support': 700.0}}",0.8085714285714286,0.7547173758420149,0.7692256871035941,0.7444999999999999,0.8039741313872103,"[0.7347368421052631, 0.7306895531222255, 0.7148579381513289, 0.7124863088718509, 0.8000951927653498]",0.7385731670032036,0.03195235408256236
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7098765432098766, 'recall': 0.575, 'f1-score': 0.6353591160220995, 'support': 200.0}, 'No': {'precision': 0.8420074349442379, 'recall': 0.906, 'f1-score': 0.8728323699421965, 'support': 500.0}, 'accuracy': 0.8114285714285714, 'macro avg': {'precision': 0.7759419890770572, 'recall': 0.7404999999999999, 'f1-score': 0.754095742982148, 'support': 700.0}, 'weighted avg': {'precision': 0.8042557515915633, 'recall': 0.8114285714285714, 'f1-score': 0.8049828688221689, 'support': 700.0}}",0.8114285714285714,0.754095742982148,0.7759419890770572,0.7404999999999999,0.8049828688221689,"[0.7363021040703195, 0.7038194102169413, 0.7622041338539254, 0.7639157130091379, 0.7767145135566188]",0.7485911749413885,0.025948443003874562
