modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.6298701298701299, 'recall': 0.485, 'f1-score': 0.5480225988700564, 'support': 200.0}, 'No': {'precision': 0.8113553113553114, 'recall': 0.886, 'f1-score': 0.847036328871893, 'support': 500.0}, 'accuracy': 0.7714285714285715, 'macro avg': {'precision': 0.7206127206127206, 'recall': 0.6855, 'f1-score': 0.6975294638709747, 'support': 700.0}, 'weighted avg': {'precision': 0.7595024023595452, 'recall': 0.7714285714285715, 'f1-score': 0.7616038345856538, 'support': 700.0}}",0.7714285714285715,0.6975294638709747,0.7206127206127206,0.6855,0.7616038345856538,"[0.5491165935929208, 0.5542857142857143, 0.5677791678437386, 0.5790622674274374, 0.5899078269020466]",0.5680303140103715,0.015146190825017858
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.696, 'recall': 0.435, 'f1-score': 0.5353846153846153, 'support': 200.0}, 'No': {'precision': 0.8034782608695652, 'recall': 0.924, 'f1-score': 0.8595348837209302, 'support': 500.0}, 'accuracy': 0.7842857142857143, 'macro avg': {'precision': 0.7497391304347826, 'recall': 0.6795, 'f1-score': 0.6974597495527728, 'support': 700.0}, 'weighted avg': {'precision': 0.7727701863354036, 'recall': 0.7842857142857143, 'f1-score': 0.7669205213391259, 'support': 700.0}}",0.7842857142857143,0.6974597495527728,0.7497391304347826,0.6795,0.7669205213391259,"[0.6520658589624106, 0.603700208996552, 0.6375154594229075, 0.6952770566176278, 0.6693592552026287]",0.6515835678404254,0.030711744841564588
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.7549019607843137, 'recall': 0.385, 'f1-score': 0.5099337748344371, 'support': 200.0}, 'No': {'precision': 0.794314381270903, 'recall': 0.95, 'f1-score': 0.8652094717668488, 'support': 500.0}, 'accuracy': 0.7885714285714286, 'macro avg': {'precision': 0.7746081710276084, 'recall': 0.6675, 'f1-score': 0.687571623300643, 'support': 700.0}, 'weighted avg': {'precision': 0.783053689703306, 'recall': 0.7885714285714286, 'f1-score': 0.7637021297861598, 'support': 700.0}}",0.7885714285714286,0.687571623300643,0.7746081710276084,0.6675,0.7637021297861598,"[0.6266666666666667, 0.586844352054642, 0.6183408428306387, 0.6602941176470588, 0.6719191919191919]",0.6328130342236397,0.030478987562088427
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.7289719626168224, 'recall': 0.39, 'f1-score': 0.50814332247557, 'support': 200.0}, 'No': {'precision': 0.7942664418212478, 'recall': 0.942, 'f1-score': 0.8618481244281794, 'support': 500.0}, 'accuracy': 0.7842857142857143, 'macro avg': {'precision': 0.7616192022190351, 'recall': 0.6659999999999999, 'f1-score': 0.6849957234518746, 'support': 700.0}, 'weighted avg': {'precision': 0.7756108763342692, 'recall': 0.7842857142857143, 'f1-score': 0.7607896095845768, 'support': 700.0}}",0.7842857142857143,0.6849957234518746,0.7616192022190351,0.6659999999999999,0.7607896095845768,"[0.6211574541780921, 0.5984269014287775, 0.6438880069274066, 0.6300044984255511, 0.655850540806293]",0.6298654803532241,0.01967784494782482
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.6012658227848101, 'recall': 0.475, 'f1-score': 0.5307262569832403, 'support': 200.0}, 'No': {'precision': 0.8062730627306273, 'recall': 0.874, 'f1-score': 0.8387715930902111, 'support': 500.0}, 'accuracy': 0.76, 'macro avg': {'precision': 0.7037694427577187, 'recall': 0.6745, 'f1-score': 0.6847489250367257, 'support': 700.0}, 'weighted avg': {'precision': 0.747699565603251, 'recall': 0.76, 'f1-score': 0.7507586399167909, 'support': 700.0}}",0.76,0.6847489250367257,0.7037694427577187,0.6745,0.7507586399167909,"[0.6578295257815947, 0.629192562872053, 0.6818181818181819, 0.7073780141105621, 0.7145220332320594]",0.6781480635628903,0.03162407143927329
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.5260869565217391, 'recall': 0.605, 'f1-score': 0.5627906976744186, 'support': 200.0}, 'No': {'precision': 0.8319148936170213, 'recall': 0.782, 'f1-score': 0.8061855670103093, 'support': 500.0}, 'accuracy': 0.7314285714285714, 'macro avg': {'precision': 0.6790009250693803, 'recall': 0.6935, 'f1-score': 0.6844881323423639, 'support': 700.0}, 'weighted avg': {'precision': 0.7445354830183691, 'recall': 0.7314285714285714, 'f1-score': 0.7366441757714834, 'support': 700.0}}",0.7314285714285714,0.6844881323423639,0.6790009250693803,0.6935,0.7366441757714834,"[0.6535353535353535, 0.6464646464646464, 0.6961938897422768, 0.6710612191619892, 0.6642083278945308]",0.6662926873597593,0.01718758927770287
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.5911949685534591, 'recall': 0.47, 'f1-score': 0.5236768802228412, 'support': 200.0}, 'No': {'precision': 0.8040665434380776, 'recall': 0.87, 'f1-score': 0.8357348703170029, 'support': 500.0}, 'accuracy': 0.7557142857142857, 'macro avg': {'precision': 0.6976307559957684, 'recall': 0.6699999999999999, 'f1-score': 0.6797058752699221, 'support': 700.0}, 'weighted avg': {'precision': 0.7432460934710438, 'recall': 0.7557142857142857, 'f1-score': 0.7465754445758138, 'support': 700.0}}",0.7557142857142857,0.6797058752699221,0.6976307559957684,0.6699999999999999,0.7465754445758138,"[0.693796394485684, 0.603700208996552, 0.6633154079962591, 0.714331983805668, 0.7168787609746473]",0.678404551251762,0.041991368298311745
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.6170212765957447, 'recall': 0.435, 'f1-score': 0.5102639296187683, 'support': 200.0}, 'No': {'precision': 0.7978533094812165, 'recall': 0.892, 'f1-score': 0.842304060434372, 'support': 500.0}, 'accuracy': 0.7614285714285715, 'macro avg': {'precision': 0.7074372930384806, 'recall': 0.6635, 'f1-score': 0.6762839950265702, 'support': 700.0}, 'weighted avg': {'precision': 0.7461870143710816, 'recall': 0.7614285714285715, 'f1-score': 0.7474354516299138, 'support': 700.0}}",0.7614285714285715,0.6762839950265702,0.7074372930384806,0.6635,0.7474354516299138,"[0.6438780059266251, 0.609963946247132, 0.6417508417508417, 0.6688747723174235, 0.6925898817449889]",0.6514114895974024,0.027815846440565034
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.5154185022026432, 'recall': 0.585, 'f1-score': 0.5480093676814989, 'support': 200.0}, 'No': {'precision': 0.8245243128964059, 'recall': 0.78, 'f1-score': 0.8016443987667009, 'support': 500.0}, 'accuracy': 0.7242857142857143, 'macro avg': {'precision': 0.6699714075495246, 'recall': 0.6825, 'f1-score': 0.6748268832240999, 'support': 700.0}, 'weighted avg': {'precision': 0.7362083669839024, 'recall': 0.7242857142857143, 'f1-score': 0.7291772470280717, 'support': 700.0}}",0.7242857142857143,0.6748268832240999,0.6699714075495246,0.6825,0.7291772470280717,"[0.6707241592737776, 0.6594901360237817, 0.6916722464685905, 0.6739130434782609, 0.6608628164222046]",0.6713324803333229,0.01158093630283297
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords,None,"{'Clickbait': {'precision': 0.5494505494505495, 'recall': 0.5, 'f1-score': 0.5235602094240838, 'support': 200.0}, 'No': {'precision': 0.806949806949807, 'recall': 0.836, 'f1-score': 0.8212180746561886, 'support': 500.0}, 'accuracy': 0.74, 'macro avg': {'precision': 0.6782001782001783, 'recall': 0.6679999999999999, 'f1-score': 0.6723891420401362, 'support': 700.0}, 'weighted avg': {'precision': 0.7333785905214477, 'recall': 0.74, 'f1-score': 0.7361729703041586, 'support': 700.0}}",0.74,0.6723891420401362,0.6782001782001783,0.6679999999999999,0.7361729703041586,"[0.6761904761904762, 0.6394738266659449, 0.7030697674418604, 0.7115643008569466, 0.7105571847507332]",0.6881711111811922,0.027514754970306327
