modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.4972972972972973, 'recall': 0.46, 'f1-score': 0.4779220779220779, 'support': 200.0}, 'No': {'precision': 0.7902912621359224, 'recall': 0.814, 'f1-score': 0.8019704433497536, 'support': 500.0}, 'accuracy': 0.7128571428571429, 'macro avg': {'precision': 0.6437942797166099, 'recall': 0.637, 'f1-score': 0.6399462606359158, 'support': 700.0}, 'weighted avg': {'precision': 0.7065787007534581, 'recall': 0.7128571428571429, 'f1-score': 0.7093851960847034, 'support': 700.0}}",0.7128571428571429,0.6399462606359158,0.6437942797166099,0.637,0.7093851960847034,"[0.5893792860910849, 0.6551545591052659, 0.6630894308943089, 0.5689237348538846, 0.6067724897976686]",0.6166639001484426,0.036764858975124444
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.46938775510204084, 'recall': 0.46, 'f1-score': 0.46464646464646464, 'support': 200.0}, 'No': {'precision': 0.7857142857142857, 'recall': 0.792, 'f1-score': 0.7888446215139442, 'support': 500.0}, 'accuracy': 0.6971428571428572, 'macro avg': {'precision': 0.6275510204081632, 'recall': 0.626, 'f1-score': 0.6267455430802045, 'support': 700.0}, 'weighted avg': {'precision': 0.69533527696793, 'recall': 0.6971428571428572, 'f1-score': 0.6962165766946643, 'support': 700.0}}",0.6971428571428572,0.6267455430802045,0.6275510204081632,0.626,0.6962165766946643,"[0.5947655429212616, 0.6386738137780426, 0.6509485094850949, 0.5661520422122337, 0.5868852459016394]",0.6074850308596543,0.03211344459385711
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5803571428571429, 'recall': 0.325, 'f1-score': 0.4166666666666667, 'support': 200.0}, 'No': {'precision': 0.7704081632653061, 'recall': 0.906, 'f1-score': 0.8327205882352942, 'support': 500.0}, 'accuracy': 0.74, 'macro avg': {'precision': 0.6753826530612246, 'recall': 0.6155, 'f1-score': 0.6246936274509804, 'support': 700.0}, 'weighted avg': {'precision': 0.7161078717201167, 'recall': 0.74, 'f1-score': 0.7138480392156864, 'support': 700.0}}",0.74,0.6246936274509804,0.6753826530612246,0.6155,0.7138480392156864,"[0.6059804427015103, 0.6293153195967276, 0.6210526315789473, 0.5614149588826525, 0.5801331285202254]",0.5995792962560126,0.025381016435846202
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.6344086021505376, 'recall': 0.295, 'f1-score': 0.40273037542662116, 'support': 200.0}, 'No': {'precision': 0.7677100494233937, 'recall': 0.932, 'f1-score': 0.8419150858175248, 'support': 500.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.7010593257869657, 'recall': 0.6135, 'f1-score': 0.622322730622073, 'support': 700.0}, 'weighted avg': {'precision': 0.7296239216311491, 'recall': 0.75, 'f1-score': 0.7164337399915524, 'support': 700.0}}",0.75,0.622322730622073,0.7010593257869657,0.6135,0.7164337399915524,"[0.5962927362675156, 0.5712535728868926, 0.6001459191572279, 0.5394695109242327, 0.5686868686868687]",0.5751697215845475,0.021917394179018612
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5354330708661418, 'recall': 0.34, 'f1-score': 0.41590214067278286, 'support': 200.0}, 'No': {'precision': 0.7696335078534031, 'recall': 0.882, 'f1-score': 0.8219944082013048, 'support': 500.0}, 'accuracy': 0.7271428571428571, 'macro avg': {'precision': 0.6525332893597724, 'recall': 0.611, 'f1-score': 0.6189482744370438, 'support': 700.0}, 'weighted avg': {'precision': 0.7027190972856142, 'recall': 0.7271428571428571, 'f1-score': 0.7059680460502985, 'support': 700.0}}",0.7271428571428571,0.6189482744370438,0.6525332893597724,0.611,0.7059680460502985,"[0.5814043209876544, 0.6045450193099486, 0.6415770609318996, 0.581973632685028, 0.5836873406966865]",0.5986374749222433,0.02313818866452421
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5625, 'recall': 0.315, 'f1-score': 0.40384615384615385, 'support': 200.0}, 'No': {'precision': 0.7670068027210885, 'recall': 0.902, 'f1-score': 0.8290441176470589, 'support': 500.0}, 'accuracy': 0.7342857142857143, 'macro avg': {'precision': 0.6647534013605443, 'recall': 0.6085, 'f1-score': 0.6164451357466063, 'support': 700.0}, 'weighted avg': {'precision': 0.7085762876579204, 'recall': 0.7342857142857143, 'f1-score': 0.7075589851325146, 'support': 700.0}}",0.7342857142857143,0.6164451357466063,0.6647534013605443,0.6085,0.7075589851325146,"[0.5963679745493107, 0.6059804427015103, 0.6323232323232323, 0.5649600473512874, 0.5987044534412955]",0.5996672300733273,0.021553058692405855
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5321100917431193, 'recall': 0.29, 'f1-score': 0.37540453074433655, 'support': 200.0}, 'No': {'precision': 0.7597292724196277, 'recall': 0.898, 'f1-score': 0.8230980751604033, 'support': 500.0}, 'accuracy': 0.7242857142857143, 'macro avg': {'precision': 0.6459196820813735, 'recall': 0.594, 'f1-score': 0.59925130295237, 'support': 700.0}, 'weighted avg': {'precision': 0.6946952207977681, 'recall': 0.7242857142857143, 'f1-score': 0.69518563389867, 'support': 700.0}}",0.7242857142857143,0.59925130295237,0.6459196820813735,0.594,0.69518563389867,"[0.5838212773623997, 0.5598554649183847, 0.5993984962406015, 0.5751207414175695, 0.5801331285202254]",0.5796658216918361,0.01280603469103791
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.6923076923076923, 'recall': 0.18, 'f1-score': 0.2857142857142857, 'support': 200.0}, 'No': {'precision': 0.7469135802469136, 'recall': 0.968, 'f1-score': 0.8432055749128919, 'support': 500.0}, 'accuracy': 0.7428571428571429, 'macro avg': {'precision': 0.7196106362773029, 'recall': 0.574, 'f1-score': 0.5644599303135889, 'support': 700.0}, 'weighted avg': {'precision': 0.7313118979785646, 'recall': 0.7428571428571429, 'f1-score': 0.6839223494275758, 'support': 700.0}}",0.7428571428571429,0.5644599303135889,0.7196106362773029,0.574,0.6839223494275758,"[0.5440369507717816, 0.4897779069888175, 0.537391304347826, 0.473596256684492, 0.5229260535382985]",0.5135456944662431,0.02737585161665458
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.6862745098039216, 'recall': 0.175, 'f1-score': 0.2788844621513944, 'support': 200.0}, 'No': {'precision': 0.7457627118644068, 'recall': 0.968, 'f1-score': 0.8424717145343777, 'support': 500.0}, 'accuracy': 0.7414285714285714, 'macro avg': {'precision': 0.7160186108341642, 'recall': 0.5715, 'f1-score': 0.5606780883428861, 'support': 700.0}, 'weighted avg': {'precision': 0.7287660827042681, 'recall': 0.7414285714285714, 'f1-score': 0.6814467852820967, 'support': 700.0}}",0.7414285714285714,0.5606780883428861,0.7160186108341642,0.5715,0.6814467852820967,"[0.5341166769738198, 0.5093795093795094, 0.5512820512820513, 0.4797473058342624, 0.5276771210795952]",0.5204405329098476,0.024367557742473372
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,"{'Clickbait': {'precision': 0.5344827586206896, 'recall': 0.155, 'f1-score': 0.24031007751937986, 'support': 200.0}, 'No': {'precision': 0.7367601246105919, 'recall': 0.946, 'f1-score': 0.8283712784588442, 'support': 500.0}, 'accuracy': 0.72, 'macro avg': {'precision': 0.6356214416156407, 'recall': 0.5505, 'f1-score': 0.534340677989112, 'support': 700.0}, 'weighted avg': {'precision': 0.6789665914706198, 'recall': 0.72, 'f1-score': 0.66035379247614, 'support': 700.0}}",0.72,0.534340677989112,0.6356214416156407,0.5505,0.66035379247614,"[0.5495705532914922, 0.537391304347826, 0.6225676433166356, 0.535751016445756, 0.556468875759911]",0.5603498786323242,0.03204530054301919
