modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.8181818181818182, 'recall': 0.36, 'f1-score': 0.5, 'support': 200.0}, 'No': {'precision': 0.7908496732026143, 'recall': 0.968, 'f1-score': 0.8705035971223022, 'support': 500.0}, 'accuracy': 0.7942857142857143, 'macro avg': {'precision': 0.8045157456922163, 'recall': 0.6639999999999999, 'f1-score': 0.685251798561151, 'support': 700.0}, 'weighted avg': {'precision': 0.798658857482387, 'recall': 0.7942857142857143, 'f1-score': 0.7646454265159301, 'support': 700.0}}",0.7942857142857143,0.685251798561151,0.8045157456922163,0.6639999999999999,0.7646454265159301,"[0.6308144013194261, 0.5790489624707673, 0.6144430844553244, 0.643573220430659, 0.6634983065661532]",0.626275595048466,0.02855066370690081
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.7017543859649122, 'recall': 0.4, 'f1-score': 0.5095541401273885, 'support': 200.0}, 'No': {'precision': 0.7952218430034129, 'recall': 0.932, 'f1-score': 0.858195211786372, 'support': 500.0}, 'accuracy': 0.78, 'macro avg': {'precision': 0.7484881144841626, 'recall': 0.666, 'f1-score': 0.6838746759568803, 'support': 700.0}, 'weighted avg': {'precision': 0.7685168552781271, 'recall': 0.78, 'f1-score': 0.7585834770266625, 'support': 700.0}}",0.78,0.6838746759568803,0.7484881144841626,0.666,0.7585834770266625,"[0.693796394485684, 0.603700208996552, 0.6633154079962591, 0.714331983805668, 0.7168787609746473]",0.678404551251762,0.041991368298311745
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.8214285714285714, 'recall': 0.345, 'f1-score': 0.4859154929577465, 'support': 200.0}, 'No': {'precision': 0.7873376623376623, 'recall': 0.97, 'f1-score': 0.8691756272401434, 'support': 500.0}, 'accuracy': 0.7914285714285715, 'macro avg': {'precision': 0.8043831168831168, 'recall': 0.6575, 'f1-score': 0.677545560098945, 'support': 700.0}, 'weighted avg': {'precision': 0.7970779220779222, 'recall': 0.7914285714285715, 'f1-score': 0.7596727317308871, 'support': 700.0}}",0.7914285714285715,0.677545560098945,0.8043831168831168,0.6575,0.7596727317308871,"[0.6375154594229075, 0.6003661045210283, 0.6162938544855192, 0.6357396648357285, 0.6748849996885872]",0.6329600165907541,0.02500522655303638
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.7608695652173914, 'recall': 0.35, 'f1-score': 0.4794520547945205, 'support': 200.0}, 'No': {'precision': 0.7861842105263158, 'recall': 0.956, 'f1-score': 0.8628158844765343, 'support': 500.0}, 'accuracy': 0.7828571428571428, 'macro avg': {'precision': 0.7735268878718535, 'recall': 0.653, 'f1-score': 0.6711339696355274, 'support': 700.0}, 'weighted avg': {'precision': 0.7789514547237659, 'recall': 0.7828571428571428, 'f1-score': 0.7532833617102447, 'support': 700.0}}",0.7828571428571428,0.6711339696355274,0.7735268878718535,0.653,0.7532833617102447,"[0.6593144869006937, 0.6185151544546248, 0.6191245791245791, 0.6976294995610184, 0.671578947368421]",0.6532325334818674,0.030702835744858728
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.5705521472392638, 'recall': 0.465, 'f1-score': 0.512396694214876, 'support': 200.0}, 'No': {'precision': 0.8007448789571695, 'recall': 0.86, 'f1-score': 0.8293153326904532, 'support': 500.0}, 'accuracy': 0.7471428571428571, 'macro avg': {'precision': 0.6856485130982166, 'recall': 0.6625, 'f1-score': 0.6708560134526647, 'support': 700.0}, 'weighted avg': {'precision': 0.7349755270377679, 'recall': 0.7471428571428571, 'f1-score': 0.7387671502688596, 'support': 700.0}}",0.7471428571428571,0.6708560134526647,0.6856485130982166,0.6625,0.7387671502688596,"[0.6697890693442954, 0.6329778595788448, 0.6952380952380952, 0.6902563497448302, 0.6932814021421616]",0.6763085552096455,0.023498931341133882
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6637168141592921, 'recall': 0.375, 'f1-score': 0.4792332268370607, 'support': 200.0}, 'No': {'precision': 0.787052810902896, 'recall': 0.924, 'f1-score': 0.8500459981600736, 'support': 500.0}, 'accuracy': 0.7671428571428571, 'macro avg': {'precision': 0.725384812531094, 'recall': 0.6495, 'f1-score': 0.6646396124985672, 'support': 700.0}, 'weighted avg': {'precision': 0.7518139546904377, 'recall': 0.7671428571428571, 'f1-score': 0.7440994920677843, 'support': 700.0}}",0.7671428571428571,0.6646396124985672,0.725384812531094,0.6495,0.7440994920677843,"[0.6578295257815947, 0.629192562872053, 0.6818181818181819, 0.7073780141105621, 0.7145220332320594]",0.6781480635628903,0.03162407143927329
naive_bayes,frecuencia,"(1, 1)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6014492753623188, 'recall': 0.415, 'f1-score': 0.4911242603550296, 'support': 200.0}, 'No': {'precision': 0.791814946619217, 'recall': 0.89, 'f1-score': 0.8380414312617702, 'support': 500.0}, 'accuracy': 0.7542857142857143, 'macro avg': {'precision': 0.6966321109907679, 'recall': 0.6525, 'f1-score': 0.6645828458083999, 'support': 700.0}, 'weighted avg': {'precision': 0.7374247548315319, 'recall': 0.7542857142857143, 'f1-score': 0.73892223957413, 'support': 700.0}}",0.7542857142857143,0.6645828458083999,0.6966321109907679,0.6525,0.73892223957413,"[0.6707241592737776, 0.6594901360237817, 0.6916722464685905, 0.6739130434782609, 0.6608628164222046]",0.6713324803333229,0.01158093630283297
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.6822429906542056, 'recall': 0.365, 'f1-score': 0.4755700325732899, 'support': 200.0}, 'No': {'precision': 0.7858347386172007, 'recall': 0.932, 'f1-score': 0.8526989935956084, 'support': 500.0}, 'accuracy': 0.77, 'macro avg': {'precision': 0.7340388646357031, 'recall': 0.6485000000000001, 'f1-score': 0.6641345130844492, 'support': 700.0}, 'weighted avg': {'precision': 0.7562370963420592, 'recall': 0.77, 'f1-score': 0.744947861874946, 'support': 700.0}}",0.77,0.6641345130844492,0.7340388646357031,0.6485000000000001,0.744947861874946,"[0.6528363627067515, 0.624611204461764, 0.686015037593985, 0.7029424546872204, 0.703030303030303]",0.6738870724960048,0.03069812440795028
naive_bayes,binaria,"(1, 1)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6290322580645161, 'recall': 0.39, 'f1-score': 0.48148148148148145, 'support': 200.0}, 'No': {'precision': 0.7881944444444444, 'recall': 0.908, 'f1-score': 0.8438661710037175, 'support': 500.0}, 'accuracy': 0.76, 'macro avg': {'precision': 0.7086133512544803, 'recall': 0.649, 'f1-score': 0.6626738262425995, 'support': 700.0}, 'weighted avg': {'precision': 0.7427195340501792, 'recall': 0.76, 'f1-score': 0.7403276882830786, 'support': 700.0}}",0.76,0.6626738262425995,0.7086133512544803,0.649,0.7403276882830786,"[0.6535353535353535, 0.6464646464646464, 0.6961938897422768, 0.6710612191619892, 0.6642083278945308]",0.6662926873597593,0.01718758927770287
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.5555555555555556, 'recall': 0.45, 'f1-score': 0.4972375690607735, 'support': 200.0}, 'No': {'precision': 0.7955390334572491, 'recall': 0.856, 'f1-score': 0.8246628131021194, 'support': 500.0}, 'accuracy': 0.74, 'macro avg': {'precision': 0.6755472945064023, 'recall': 0.653, 'f1-score': 0.6609501910814465, 'support': 700.0}, 'weighted avg': {'precision': 0.7269723254853366, 'recall': 0.74, 'f1-score': 0.7311127433760206, 'support': 700.0}}",0.74,0.6609501910814465,0.6755472945064023,0.653,0.7311127433760206,"[0.635771665043817, 0.6385913113498749, 0.6741114897760467, 0.6960504097252174, 0.709320930232558]",0.6707691612255029,0.029653972216291718
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.8867924528301887, 'recall': 0.235, 'f1-score': 0.3715415019762846, 'support': 200.0}, 'No': {'precision': 0.7635239567233385, 'recall': 0.988, 'f1-score': 0.8613775065387969, 'support': 500.0}, 'accuracy': 0.7728571428571429, 'macro avg': {'precision': 0.8251582047767636, 'recall': 0.6114999999999999, 'f1-score': 0.6164595042575407, 'support': 700.0}, 'weighted avg': {'precision': 0.7987435270395814, 'recall': 0.7728571428571429, 'f1-score': 0.721424362378079, 'support': 700.0}}",0.7728571428571429,0.6164595042575407,0.8251582047767636,0.6114999999999999,0.721424362378079,"[0.5491165935929208, 0.5542857142857143, 0.5677791678437386, 0.5790622674274374, 0.5899078269020466]",0.5680303140103715,0.015146190825017858
naive_bayes,frecuencia,"(2, 2)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5060240963855421, 'recall': 0.21, 'f1-score': 0.2968197879858657, 'support': 200.0}, 'No': {'precision': 0.7439222042139384, 'recall': 0.918, 'f1-score': 0.8218442256042973, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6249731502997402, 'recall': 0.5640000000000001, 'f1-score': 0.5593320067950815, 'support': 700.0}, 'weighted avg': {'precision': 0.675951316262968, 'recall': 0.7157142857142857, 'f1-score': 0.6718372434276025, 'support': 700.0}}",0.7157142857142857,0.5593320067950815,0.6249731502997402,0.5640000000000001,0.6718372434276025,"[0.5652376644813534, 0.5626822157434402, 0.5832731995959013, 0.5756963486794632, 0.634378248632933]",0.5842535354266183,0.02612890567192898
naive_bayes,binaria,"(2, 2)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5263157894736842, 'recall': 0.2, 'f1-score': 0.2898550724637681, 'support': 200.0}, 'No': {'precision': 0.7435897435897436, 'recall': 0.928, 'f1-score': 0.8256227758007118, 'support': 500.0}, 'accuracy': 0.72, 'macro avg': {'precision': 0.6349527665317138, 'recall': 0.5640000000000001, 'f1-score': 0.5577389241322399, 'support': 700.0}, 'weighted avg': {'precision': 0.6815114709851552, 'recall': 0.72, 'f1-score': 0.6725462891330136, 'support': 700.0}}",0.72,0.5577389241322399,0.6349527665317138,0.5640000000000001,0.6725462891330136,"[0.5634581833030179, 0.5599727025442383, 0.5832731995959013, 0.5753676470588236, 0.6385203364266175]",0.5841184137857197,0.028448971817332237
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.6666666666666666, 'recall': 0.13, 'f1-score': 0.2175732217573222, 'support': 200.0}, 'No': {'precision': 0.7367624810892587, 'recall': 0.974, 'f1-score': 0.8389319552110249, 'support': 500.0}, 'accuracy': 0.7328571428571429, 'macro avg': {'precision': 0.7017145738779627, 'recall': 0.552, 'f1-score': 0.5282525884841736, 'support': 700.0}, 'weighted avg': {'precision': 0.7167351055399467, 'recall': 0.7328571428571429, 'f1-score': 0.661400888509967, 'support': 700.0}}",0.7328571428571429,0.5282525884841736,0.7017145738779627,0.552,0.661400888509967,"[0.526983837092503, 0.49389032176229336, 0.562391466137435, 0.5285714285714286, 0.5743997752606074]",0.5372473657648534,0.028541101893651496
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.574468085106383, 'recall': 0.135, 'f1-score': 0.21862348178137653, 'support': 200.0}, 'No': {'precision': 0.7350689127105666, 'recall': 0.96, 'f1-score': 0.8326105810928014, 'support': 500.0}, 'accuracy': 0.7242857142857143, 'macro avg': {'precision': 0.6547684989084748, 'recall': 0.5475, 'f1-score': 0.5256170314370889, 'support': 700.0}, 'weighted avg': {'precision': 0.6891829619665142, 'recall': 0.7242857142857143, 'f1-score': 0.6571856955752514, 'support': 700.0}}",0.7242857142857143,0.5256170314370889,0.6547684989084748,0.5475,0.6571856955752514,"[0.5571004530542103, 0.5129260357762292, 0.5540560654924337, 0.5455072463768116, 0.6103896103896104]",0.5559958822178591,0.03139644497198628
svc,frecuencia,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.6410256410256411, 'recall': 0.125, 'f1-score': 0.20920502092050208, 'support': 200.0}, 'No': {'precision': 0.735249621785174, 'recall': 0.972, 'f1-score': 0.8372093023255814, 'support': 500.0}, 'accuracy': 0.73, 'macro avg': {'precision': 0.6881376314054075, 'recall': 0.5485, 'f1-score': 0.5232071616230418, 'support': 700.0}, 'weighted avg': {'precision': 0.7083284844253074, 'recall': 0.73, 'f1-score': 0.657779507638416, 'support': 700.0}}",0.73,0.5232071616230418,0.6881376314054075,0.5485,0.657779507638416,"[0.5254045764558699, 0.49389032176229336, 0.5606174252891714, 0.5254045764558699, 0.5707268667824361]",0.5352087533491281,0.027592004456083345
random_forest,tfidf,"(2, 2)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6666666666666666, 'recall': 0.09, 'f1-score': 0.15859030837004406, 'support': 200.0}, 'No': {'precision': 0.7295690936106983, 'recall': 0.982, 'f1-score': 0.8371696504688833, 'support': 500.0}, 'accuracy': 0.7271428571428571, 'macro avg': {'precision': 0.6981178801386825, 'recall': 0.536, 'f1-score': 0.49787997941946366, 'support': 700.0}, 'weighted avg': {'precision': 0.7115969716266892, 'recall': 0.7271428571428571, 'f1-score': 0.6432898384406435, 'support': 700.0}}",0.7271428571428571,0.49787997941946366,0.6981178801386825,0.536,0.6432898384406435,"[0.4952728355542321, 0.4733915546397148, 0.5072213973481742, 0.5072213973481742, 0.5387883701597923]",0.5043791110100175,0.02118162978135457
logistic_regression,binaria,"(2, 2)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.875, 'recall': 0.07, 'f1-score': 0.12962962962962962, 'support': 200.0}, 'No': {'precision': 0.7280701754385965, 'recall': 0.996, 'f1-score': 0.8412162162162162, 'support': 500.0}, 'accuracy': 0.7314285714285714, 'macro avg': {'precision': 0.8015350877192983, 'recall': 0.533, 'f1-score': 0.48542292292292294, 'support': 700.0}, 'weighted avg': {'precision': 0.7700501253132831, 'recall': 0.7314285714285714, 'f1-score': 0.637905762905763, 'support': 700.0}}",0.7314285714285714,0.48542292292292294,0.8015350877192983,0.533,0.637905762905763,"[0.5131392838531974, 0.48254996238511105, 0.487673343605547, 0.48901258626815536, 0.557785209959123]",0.5060320772142267,0.027953586616910272
random_forest,frecuencia,"(2, 2)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.9285714285714286, 'recall': 0.065, 'f1-score': 0.12149532710280374, 'support': 200.0}, 'No': {'precision': 0.7274052478134111, 'recall': 0.998, 'f1-score': 0.8414839797639123, 'support': 500.0}, 'accuracy': 0.7314285714285714, 'macro avg': {'precision': 0.8279883381924198, 'recall': 0.5315, 'f1-score': 0.48148965343335803, 'support': 700.0}, 'weighted avg': {'precision': 0.7848812994585589, 'recall': 0.7314285714285714, 'f1-score': 0.6357729361464527, 'support': 700.0}}",0.7314285714285714,0.48148965343335803,0.8279883381924198,0.5315,0.6357729361464527,"[0.48901258626815536, 0.48254996238511105, 0.5013396375098502, 0.48125677139761647, 0.5262366310160428]",0.4960791177153552,0.016672279616156534
logistic_regression,frecuencia,"(2, 2)",{'max_iter': 200},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6842105263157895, 'recall': 0.065, 'f1-score': 0.1187214611872146, 'support': 200.0}, 'No': {'precision': 0.7254038179148311, 'recall': 0.988, 'f1-score': 0.8365791701947503, 'support': 500.0}, 'accuracy': 0.7242857142857143, 'macro avg': {'precision': 0.7048071721153103, 'recall': 0.5265, 'f1-score': 0.47765031569098243, 'support': 700.0}, 'weighted avg': {'precision': 0.7136343060293906, 'recall': 0.7242857142857143, 'f1-score': 0.6314769676211687, 'support': 700.0}}",0.7242857142857143,0.47765031569098243,0.7048071721153103,0.5265,0.6314769676211687,"[0.49805661128995793, 0.46541432584269665, 0.5027694389243583, 0.4799685612463528, 0.557785209959123]",0.5007988294524978,0.031447778282859294
naive_bayes,tfidf,"(1, 1)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.9230769230769231, 'recall': 0.06, 'f1-score': 0.11267605633802817, 'support': 200.0}, 'No': {'precision': 0.7263464337700145, 'recall': 0.998, 'f1-score': 0.8407750631844987, 'support': 500.0}, 'accuracy': 0.73, 'macro avg': {'precision': 0.8247116784234688, 'recall': 0.529, 'f1-score': 0.4767255597612634, 'support': 700.0}, 'weighted avg': {'precision': 0.7825551450005599, 'recall': 0.73, 'f1-score': 0.6327467755140785, 'support': 700.0}}",0.73,0.4767255597612634,0.8247116784234688,0.529,0.6327467755140785,"[0.4512524779239503, 0.4512524779239503, 0.45732239290565535, 0.43422074067309013, 0.5008667778759036]",0.4589829734605099,0.022314568762071194
random_forest,binaria,"(2, 2)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.8181818181818182, 'recall': 0.045, 'f1-score': 0.08530805687203792, 'support': 200.0}, 'No': {'precision': 0.7227866473149492, 'recall': 0.996, 'f1-score': 0.8376787216148024, 'support': 500.0}, 'accuracy': 0.7242857142857143, 'macro avg': {'precision': 0.7704842327483837, 'recall': 0.5205, 'f1-score': 0.46149338924342015, 'support': 700.0}, 'weighted avg': {'precision': 0.7500424104197689, 'recall': 0.7242857142857143, 'f1-score': 0.6227156745454411, 'support': 700.0}}",0.7242857142857143,0.46149338924342015,0.7704842327483837,0.5205,0.6227156745454411,"[0.48254996238511105, 0.48254996238511105, 0.4863396114047495, 0.4952728355542321, 0.5437834224598931]",0.49809915883781936,0.02331043552778424
naive_bayes,binaria,"(3, 3)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5625, 'recall': 0.045, 'f1-score': 0.08333333333333333, 'support': 200.0}, 'No': {'precision': 0.7207602339181286, 'recall': 0.986, 'f1-score': 0.8327702702702703, 'support': 500.0}, 'accuracy': 0.7171428571428572, 'macro avg': {'precision': 0.6416301169590644, 'recall': 0.5155, 'f1-score': 0.45805180180180183, 'support': 700.0}, 'weighted avg': {'precision': 0.6755430242272348, 'recall': 0.7171428571428572, 'f1-score': 0.6186454311454312, 'support': 700.0}}",0.7171428571428572,0.45805180180180183,0.6416301169590644,0.5155,0.6186454311454312,"[0.45283648618094513, 0.445916331403526, 0.49708906230645356, 0.49389032176229336, 0.49114304812834225]",0.4761750499563121,0.022070552075438236
random_forest,frecuencia,"(3, 3)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5625, 'recall': 0.045, 'f1-score': 0.08333333333333333, 'support': 200.0}, 'No': {'precision': 0.7207602339181286, 'recall': 0.986, 'f1-score': 0.8327702702702703, 'support': 500.0}, 'accuracy': 0.7171428571428572, 'macro avg': {'precision': 0.6416301169590644, 'recall': 0.5155, 'f1-score': 0.45805180180180183, 'support': 700.0}, 'weighted avg': {'precision': 0.6755430242272348, 'recall': 0.7171428571428572, 'f1-score': 0.6186454311454312, 'support': 700.0}}",0.7171428571428572,0.45805180180180183,0.6416301169590644,0.5155,0.6186454311454312,"[0.4480458526134444, 0.4407832167832168, 0.4166666666666667, 0.4145925188451145, 0.4523250671837262]",0.43448266441843375,0.01584320698199936
naive_bayes,frecuencia,"(3, 3)",{},Solo Stopwords,None,"{'Clickbait': {'precision': 0.5294117647058824, 'recall': 0.045, 'f1-score': 0.08294930875576037, 'support': 200.0}, 'No': {'precision': 0.7203513909224012, 'recall': 0.984, 'f1-score': 0.8317836010143702, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6248815778141418, 'recall': 0.5145, 'f1-score': 0.4573664548850653, 'support': 700.0}, 'weighted avg': {'precision': 0.6657972120033958, 'recall': 0.7157142857142857, 'f1-score': 0.6178309460833388, 'support': 700.0}}",0.7157142857142857,0.4573664548850653,0.6248815778141418,0.5145,0.6178309460833388,"[0.45283648618094513, 0.4469803370786517, 0.49708906230645356, 0.49389032176229336, 0.49114304812834225]",0.4763878510913372,0.021781006103989427
svc,tfidf,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.45454545454545453, 'recall': 0.025, 'f1-score': 0.04739336492890995, 'support': 200.0}, 'No': {'precision': 0.7169811320754716, 'recall': 0.988, 'f1-score': 0.830950378469302, 'support': 500.0}, 'accuracy': 0.7128571428571429, 'macro avg': {'precision': 0.5857632933104631, 'recall': 0.5065, 'f1-score': 0.439171871699106, 'support': 700.0}, 'weighted avg': {'precision': 0.6419995099240382, 'recall': 0.7128571428571429, 'f1-score': 0.60707694602919, 'support': 700.0}}",0.7128571428571429,0.439171871699106,0.5857632933104631,0.5065,0.60707694602919,"[0.4512524779239503, 0.4237507228628771, 0.4758754734900774, 0.4630552546045504, 0.4665989331978664]",0.45610657241586433,0.017998036016482758
svc,binaria,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,"{'Clickbait': {'precision': 0.6666666666666666, 'recall': 0.02, 'f1-score': 0.038834951456310676, 'support': 200.0}, 'No': {'precision': 0.7175792507204611, 'recall': 0.996, 'f1-score': 0.8341708542713567, 'support': 500.0}, 'accuracy': 0.7171428571428572, 'macro avg': {'precision': 0.6921229586935639, 'recall': 0.508, 'f1-score': 0.4365029028638337, 'support': 700.0}, 'weighted avg': {'precision': 0.7030327981336627, 'recall': 0.7171428571428572, 'f1-score': 0.6069320248956293, 'support': 700.0}}",0.7171428571428572,0.4365029028638337,0.6921229586935639,0.508,0.6069320248956293,"[0.4428002857434432, 0.4166666666666667, 0.43422074067309013, 0.45619733146067415, 0.4607136420976753]",0.4421197333283099,0.01584063162590963
random_forest,tfidf,"(3, 3)",{'n_estimators': 100},Solo Stopwords,None,"{'Clickbait': {'precision': 0.6666666666666666, 'recall': 0.02, 'f1-score': 0.038834951456310676, 'support': 200.0}, 'No': {'precision': 0.7175792507204611, 'recall': 0.996, 'f1-score': 0.8341708542713567, 'support': 500.0}, 'accuracy': 0.7171428571428572, 'macro avg': {'precision': 0.6921229586935639, 'recall': 0.508, 'f1-score': 0.4365029028638337, 'support': 700.0}, 'weighted avg': {'precision': 0.7030327981336627, 'recall': 0.7171428571428572, 'f1-score': 0.6069320248956293, 'support': 700.0}}",0.7171428571428572,0.4365029028638337,0.6921229586935639,0.508,0.6069320248956293,"[0.45958041958041956, 0.43327550430316014, 0.4512524779239503, 0.41681272905237754, 0.4758754734900774]",0.447359320869997,0.02053840814936212
