modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8203125, 'recall': 0.525, 'f1-score': 0.6402439024390244, 'support': 200.0}, 'No': {'precision': 0.833916083916084, 'recall': 0.954, 'f1-score': 0.8899253731343284, 'support': 500.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.827114291958042, 'recall': 0.7395, 'f1-score': 0.7650846377866765, 'support': 700.0}, 'weighted avg': {'precision': 0.8300293456543457, 'recall': 0.8314285714285714, 'f1-score': 0.8185878100785273, 'support': 700.0}}",0.8314285714285714,0.7650846377866765,0.827114291958042,0.7395,0.8185878100785273,"[0.7342857829279816, 0.6915205281617496, 0.7366898148148149, 0.7653558459294205, 0.7844810572269896]",0.7424666058121913,0.03157508969452228
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8110236220472441, 'recall': 0.515, 'f1-score': 0.6299694189602446, 'support': 200.0}, 'No': {'precision': 0.8307155322862129, 'recall': 0.952, 'f1-score': 0.8872320596458527, 'support': 500.0}, 'accuracy': 0.8271428571428572, 'macro avg': {'precision': 0.8208695771667285, 'recall': 0.7335, 'f1-score': 0.7586007393030487, 'support': 700.0}, 'weighted avg': {'precision': 0.8250892722179362, 'recall': 0.8271428571428572, 'f1-score': 0.8137284480213933, 'support': 700.0}}",0.8271428571428572,0.7586007393030487,0.8208695771667285,0.7335,0.8137284480213933,"[0.7096836419753086, 0.7030715871946502, 0.7544666095410464, 0.758018052621471, 0.7885396016237138]",0.742755898591238,0.032046342345577246
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8448275862068966, 'recall': 0.49, 'f1-score': 0.620253164556962, 'support': 200.0}, 'No': {'precision': 0.8253424657534246, 'recall': 0.964, 'f1-score': 0.8892988929889298, 'support': 500.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.8350850259801605, 'recall': 0.727, 'f1-score': 0.7547760287729459, 'support': 700.0}, 'weighted avg': {'precision': 0.8309096430258452, 'recall': 0.8285714285714286, 'f1-score': 0.8124286848655105, 'support': 700.0}}",0.8285714285714286,0.7547760287729459,0.8350850259801605,0.727,0.8124286848655105,"[0.7306895531222255, 0.7101010101010101, 0.7454545454545454, 0.7532959143714919, 0.7695885509838998]",0.7418259148066346,0.02022859336708762
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7098765432098766, 'recall': 0.575, 'f1-score': 0.6353591160220995, 'support': 200.0}, 'No': {'precision': 0.8420074349442379, 'recall': 0.906, 'f1-score': 0.8728323699421965, 'support': 500.0}, 'accuracy': 0.8114285714285714, 'macro avg': {'precision': 0.7759419890770572, 'recall': 0.7404999999999999, 'f1-score': 0.754095742982148, 'support': 700.0}, 'weighted avg': {'precision': 0.8042557515915633, 'recall': 0.8114285714285714, 'f1-score': 0.8049828688221689, 'support': 700.0}}",0.8114285714285714,0.754095742982148,0.7759419890770572,0.7404999999999999,0.8049828688221689,"[0.7363021040703195, 0.7038194102169413, 0.7622041338539254, 0.7639157130091379, 0.7767145135566188]",0.7485911749413885,0.025948443003874562
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8785046728971962, 'recall': 0.47, 'f1-score': 0.6123778501628665, 'support': 200.0}, 'No': {'precision': 0.821247892074199, 'recall': 0.974, 'f1-score': 0.8911253430924062, 'support': 500.0}, 'accuracy': 0.83, 'macro avg': {'precision': 0.8498762824856976, 'recall': 0.722, 'f1-score': 0.7517515966276364, 'support': 700.0}, 'weighted avg': {'precision': 0.8376069723093412, 'recall': 0.83, 'f1-score': 0.8114832022553948, 'support': 700.0}}",0.83,0.7517515966276364,0.8498762824856976,0.722,0.8114832022553948,"[0.6909227820372399, 0.686015037593985, 0.7026197781449138, 0.7002506614677622, 0.7747060037136373]",0.7109028525915078,0.032470069743819045
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.6951219512195121, 'recall': 0.57, 'f1-score': 0.6263736263736264, 'support': 200.0}, 'No': {'precision': 0.8395522388059702, 'recall': 0.9, 'f1-score': 0.8687258687258688, 'support': 500.0}, 'accuracy': 0.8057142857142857, 'macro avg': {'precision': 0.7673370950127412, 'recall': 0.735, 'f1-score': 0.7475497475497476, 'support': 700.0}, 'weighted avg': {'precision': 0.7982864423526965, 'recall': 0.8057142857142857, 'f1-score': 0.7994823709109424, 'support': 700.0}}",0.8057142857142857,0.7475497475497476,0.7673370950127412,0.735,0.7994823709109424,"[0.7211346933168488, 0.7052939595712281, 0.741317149381084, 0.7382305194805194, 0.7881054131054132]",0.7388163469710187,0.027829482854955047
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8737864077669902, 'recall': 0.45, 'f1-score': 0.594059405940594, 'support': 200.0}, 'No': {'precision': 0.8157453936348409, 'recall': 0.974, 'f1-score': 0.8878760255241568, 'support': 500.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.8447659007009156, 'recall': 0.712, 'f1-score': 0.7409677157323754, 'support': 700.0}, 'weighted avg': {'precision': 0.8323285405297406, 'recall': 0.8242857142857143, 'f1-score': 0.8039284199288532, 'support': 700.0}}",0.8242857142857143,0.7409677157323754,0.8447659007009156,0.712,0.8039284199288532,"[0.6883089986538262, 0.6810603707155432, 0.6925898817449889, 0.7028062545303925, 0.7640825291962541]",0.705769606968201,0.02999434184076283
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.8571428571428571, 'recall': 0.45, 'f1-score': 0.5901639344262295, 'support': 200.0}, 'No': {'precision': 0.8151260504201681, 'recall': 0.97, 'f1-score': 0.8858447488584474, 'support': 500.0}, 'accuracy': 0.8214285714285714, 'macro avg': {'precision': 0.8361344537815125, 'recall': 0.71, 'f1-score': 0.7380043416423385, 'support': 700.0}, 'weighted avg': {'precision': 0.8271308523409363, 'recall': 0.8214285714285714, 'f1-score': 0.801364516163528, 'support': 700.0}}",0.8214285714285714,0.7380043416423385,0.8361344537815125,0.71,0.801364516163528,"[0.7279352226720648, 0.7100581380841879, 0.7148872180451128, 0.7499979040736424, 0.7928381177863273]",0.739143320132267,0.030202255013692544
naive_bayes,frecuencia,"(1, 1)",{},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7024793388429752, 'recall': 0.425, 'f1-score': 0.5295950155763239, 'support': 200.0}, 'No': {'precision': 0.8013816925734024, 'recall': 0.928, 'f1-score': 0.8600556070435589, 'support': 500.0}, 'accuracy': 0.7842857142857143, 'macro avg': {'precision': 0.7519305157081888, 'recall': 0.6765, 'f1-score': 0.6948253113099414, 'support': 700.0}, 'weighted avg': {'precision': 0.7731238772218518, 'recall': 0.7842857142857143, 'f1-score': 0.7656382951957775, 'support': 700.0}}",0.7842857142857143,0.6948253113099414,0.7519305157081888,0.6765,0.7656382951957775,"[0.6555525180998069, 0.671578947368421, 0.7053727634614897, 0.6978967163816936, 0.6856287425149701]",0.6832059375652764,0.01796082206103699
naive_bayes,binaria,"(1, 1)",{},Solo Tokenizacion,None,"{'Clickbait': {'precision': 0.7321428571428571, 'recall': 0.41, 'f1-score': 0.5256410256410257, 'support': 200.0}, 'No': {'precision': 0.7993197278911565, 'recall': 0.94, 'f1-score': 0.8639705882352942, 'support': 500.0}, 'accuracy': 0.7885714285714286, 'macro avg': {'precision': 0.7657312925170068, 'recall': 0.6749999999999999, 'f1-score': 0.69480580693816, 'support': 700.0}, 'weighted avg': {'precision': 0.7801263362487852, 'recall': 0.7885714285714286, 'f1-score': 0.7673049989226459, 'support': 700.0}}",0.7885714285714286,0.69480580693816,0.7657312925170068,0.6749999999999999,0.7673049989226459,"[0.6681299385425812, 0.6886264284070864, 0.6932330827067669, 0.7291150412437625, 0.6934722835126786]",0.6945153548825751,0.019650649691939526
