ML_Model,Text_Representation,ngram_range,ML_Hyperparameters,Text_Normalization,Balance_Methods,Average_f-score_Macro
naive_bayes,binaria,"(1, 1)",{},Desconocido,None,0.6647178744124138
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Desconocido,None,0.658436959233772
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.656620780574547
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Desconocido,None,0.6518132494624149
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.648010996813653
naive_bayes,frecuencia,"(1, 1)",{},Desconocido,None,0.643282950655744
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Desconocido,None,0.64325720802091
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Desconocido,None,0.6398092135256839
naive_bayes,tfidf,"(1, 1)",{},Desconocido,None,0.6385218642632386
mlp,tfidf,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.6373982630492405
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Desconocido,None,0.6363598392987201
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.634989608917438
mlp,frecuencia,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.6338606851277697
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.6334760220857373
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Desconocido,None,0.6161017878688164
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Desconocido,None,0.6105691847338799
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Desconocido,None,0.6055600617560031
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Desconocido,None,0.5827639345215596
mlp,tfidf,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.5290909090909091
naive_bayes,tfidf,"(2, 2)",{},Desconocido,None,0.5237737487061338
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.5227794165847264
mlp,frecuencia,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.5135353535353535
naive_bayes,binaria,"(2, 2)",{},Desconocido,None,0.509587235923569
naive_bayes,frecuencia,"(2, 2)",{},Desconocido,None,0.5083357822754945
logistic_regression,tfidf,"(2, 2)",{'max_iter': 200},Desconocido,None,0.5040485829959515
mlp,binaria,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.5005068288518992
gradient_boosting,binaria,"(2, 2)",{'n_estimators': 100},Desconocido,None,0.5004210736664811
gradient_boosting,frecuencia,"(2, 2)",{'n_estimators': 100},Desconocido,None,0.4929346004562507
gradient_boosting,tfidf,"(2, 2)",{'n_estimators': 100},Desconocido,None,0.4886956521739131
logistic_regression,binaria,"(2, 2)",{'max_iter': 200},Desconocido,None,0.48210657563159337
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.4781825696740671
logistic_regression,frecuencia,"(2, 2)",{'max_iter': 200},Desconocido,None,0.47684877436896994
svc,frecuencia,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.4766240049258917
random_forest,tfidf,"(2, 2)",{'n_estimators': 100},Desconocido,None,0.4730160604629192
random_forest,binaria,"(2, 2)",{'n_estimators': 100},Desconocido,None,0.4714946070878274
random_forest,frecuencia,"(2, 2)",{'n_estimators': 100},Desconocido,None,0.4661016949152542
mlp,tfidf,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.4621152144553626
svc,tfidf,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.44600452355987286
logistic_regression,tfidf,"(3, 3)",{'max_iter': 200},Desconocido,None,0.4409847702632938
svc,frecuencia,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.43081101299377145
svc,binaria,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Desconocido,None,0.43081101299377145
logistic_regression,frecuencia,"(3, 3)",{'max_iter': 200},Desconocido,None,0.4261918814348482
logistic_regression,binaria,"(3, 3)",{'max_iter': 200},Desconocido,None,0.4256556791509338
gradient_boosting,frecuencia,"(3, 3)",{'n_estimators': 100},Desconocido,None,0.4209662086250108
gradient_boosting,binaria,"(3, 3)",{'n_estimators': 100},Desconocido,None,0.4209662086250108
gradient_boosting,tfidf,"(3, 3)",{'n_estimators': 100},Desconocido,None,0.4209662086250108
mlp,binaria,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.325986630017985
mlp,frecuencia,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Desconocido,None,0.32489004292300355
naive_bayes,tfidf,"(3, 3)",{},Desconocido,None,0.31547619047619047
naive_bayes,frecuencia,"(3, 3)",{},Desconocido,None,0.3146544751785729
naive_bayes,binaria,"(3, 3)",{},Desconocido,None,0.3146544751785729
random_forest,frecuencia,"(3, 3)",{'n_estimators': 100},Desconocido,None,0.2586672606062988
random_forest,binaria,"(3, 3)",{'n_estimators': 100},Desconocido,None,0.2586672606062988
random_forest,tfidf,"(3, 3)",{'n_estimators': 100},Desconocido,None,0.2586672606062988
