ML_Model,Text_Representation,ngram_range,ML_Hyperparameters,Text_Normalization,Balance_Methods,Average_f-score_Macro
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,0.7068474918536876
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,0.6975294638709747
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,0.696172481907647
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,0.6934435721612668
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,0.6847489250367257
naive_bayes,binaria,"(1, 1)",{},Solo Stopwords,None,0.6844881323423639
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Solo Stopwords,None,0.6798110394124441
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Solo Stopwords,None,0.6797058752699221
naive_bayes,frecuencia,"(1, 1)",{},Solo Stopwords,None,0.6748268832240999
naive_bayes,tfidf,"(1, 1)",{},Solo Stopwords,None,0.6720442271785062
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,0.6720270001985309
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,0.6710632919596851
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,0.6710526315789473
mlp,frecuencia,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Solo Stopwords,None,0.6702181633688482
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,0.6672008547008548
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Solo Stopwords,None,0.6659267480577137
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,0.6621621621621622
mlp,tfidf,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Solo Stopwords,None,0.6520982822352686
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Solo Stopwords,None,0.5712775284955387
logistic_regression,tfidf,"(2, 2)",{'max_iter': 200},Solo Stopwords,None,0.5701945858019551
