ML_Model,Text_Representation,ngram_range,ML_Hyperparameters,Text_Normalization,Balance_Methods,Average_f-score_Macro
naive_bayes,binaria,"(1, 1)",{},Stopwords + Lematizacion,None,0.6647178744124138
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Stopwords + Lematizacion,None,0.658436959233772
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Stopwords + Lematizacion,None,0.6518132494624149
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.648010996813653
naive_bayes,frecuencia,"(1, 1)",{},Stopwords + Lematizacion,None,0.643282950655744
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Stopwords + Lematizacion,None,0.64325720802091
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.6424148606811145
mlp,frecuencia,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.6396201822743357
naive_bayes,tfidf,"(1, 1)",{},Stopwords + Lematizacion,None,0.6385218642632386
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.6362542896407648
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.634989608917438
mlp,tfidf,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.6339172378776339
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.6334760220857373
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.6185897435897436
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.616912155611846
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.6126680337206654
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.611468246359407
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.58271083406316
naive_bayes,tfidf,"(2, 2)",{},Stopwords + Lematizacion,None,0.5237737487061338
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.5227794165847264
mlp,tfidf,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.5220873159390338
mlp,binaria,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.5187988195383666
naive_bayes,binaria,"(2, 2)",{},Stopwords + Lematizacion,None,0.509587235923569
naive_bayes,frecuencia,"(2, 2)",{},Stopwords + Lematizacion,None,0.5083357822754945
gradient_boosting,binaria,"(2, 2)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.5054168629298162
mlp,frecuencia,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.505386939103603
logistic_regression,tfidf,"(2, 2)",{'max_iter': 200},Stopwords + Lematizacion,None,0.5040485829959515
gradient_boosting,tfidf,"(2, 2)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.49930041626104765
gradient_boosting,frecuencia,"(2, 2)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.494614176199339
logistic_regression,binaria,"(2, 2)",{'max_iter': 200},Stopwords + Lematizacion,None,0.48210657563159337
random_forest,binaria,"(2, 2)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.4814993916924766
random_forest,tfidf,"(2, 2)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.48016774419011005
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.4781825696740671
logistic_regression,frecuencia,"(2, 2)",{'max_iter': 200},Stopwords + Lematizacion,None,0.47684877436896994
svc,frecuencia,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.4766240049258917
random_forest,frecuencia,"(2, 2)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.46282005835355716
mlp,tfidf,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.45805180180180183
svc,tfidf,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.44600452355987286
logistic_regression,tfidf,"(3, 3)",{'max_iter': 200},Stopwords + Lematizacion,None,0.4409847702632938
svc,frecuencia,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.43081101299377145
svc,binaria,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Stopwords + Lematizacion,None,0.43081101299377145
logistic_regression,frecuencia,"(3, 3)",{'max_iter': 200},Stopwords + Lematizacion,None,0.4261918814348482
logistic_regression,binaria,"(3, 3)",{'max_iter': 200},Stopwords + Lematizacion,None,0.4256556791509338
gradient_boosting,binaria,"(3, 3)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.4209662086250108
gradient_boosting,tfidf,"(3, 3)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.4209662086250108
gradient_boosting,frecuencia,"(3, 3)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.42045380024919665
mlp,binaria,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.325986630017985
mlp,frecuencia,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Stopwords + Lematizacion,None,0.32331801503784957
naive_bayes,tfidf,"(3, 3)",{},Stopwords + Lematizacion,None,0.31547619047619047
naive_bayes,frecuencia,"(3, 3)",{},Stopwords + Lematizacion,None,0.3146544751785729
naive_bayes,binaria,"(3, 3)",{},Stopwords + Lematizacion,None,0.3146544751785729
random_forest,frecuencia,"(3, 3)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.2586672606062988
random_forest,binaria,"(3, 3)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.25655594405594406
random_forest,tfidf,"(3, 3)",{'n_estimators': 100},Stopwords + Lematizacion,None,0.2556102183819949
