ML_Model,Text_Representation,ngram_range,ML_Hyperparameters,Text_Normalization,Balance_Methods,Average_f-score_Macro
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,0.6975294638709747
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,0.6974597495527728
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,0.687571623300643
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,0.6849957234518746
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,0.6847489250367257
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords,None,0.6844881323423639
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords,None,0.6797058752699221
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,0.6762839950265702
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords,None,0.6748268832240999
mlp,binaria,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords,None,0.6723891420401362
naive_bayes,tfidf,"(1, 1)",{},Tokenizacion + Stopwords,None,0.6720442271785062
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,0.6720270001985309
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,0.6710632919596851
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,0.6708560134526647
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords,None,0.6684830452757441
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,0.6621621621621622
mlp,frecuencia,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords,None,0.661942564172177
mlp,tfidf,"(1, 1)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords,None,0.6509785392264098
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords,None,0.5712775284955387
logistic_regression,tfidf,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords,None,0.5701945858019551
naive_bayes,binaria,"(2, 2)",{},Tokenizacion + Stopwords,None,0.5634746557255782
naive_bayes,frecuencia,"(2, 2)",{},Tokenizacion + Stopwords,None,0.5538387252535008
naive_bayes,tfidf,"(2, 2)",{},Tokenizacion + Stopwords,None,0.5520110274208635
mlp,tfidf,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords,None,0.5513352106172862
